2017-01-23 16:17:59
Tag: 网络小说
The number of books: 993 

ID, rating, votes, title
1873231, 8.8, 77649, 明朝那些事儿（壹）
3674537, 9.1, 30912, 明朝那些事儿（1-9）
1949338, 8.9, 39248, 明朝那些事儿（贰）
2253642, 8.8, 30182, 明朝那些事儿（肆）
1948901, 8.4, 57645, 盗墓笔记
1003000, 8.4, 54134, 悟空传
5916880, 8.6, 36711, 华胥引（全二册）
1461903, 8.0, 114251, 何以笙箫默
3426869, 8.3, 54874, 三生三世 十里桃花
3879301, 8.1, 73971, 微微一笑很倾城
1020459, 8.4, 34393, 此间的少年
3266344, 8.5, 26485, 盗墓笔记4
2209098, 7.9, 78857, 致我们终将逝去的青春
2298149, 8.4, 28413, 盗墓笔记3
4173968, 8.4, 23035, 盗墓笔记6
3800166, 8.4, 22845, 盗墓笔记5
2057285, 8.2, 31901, 盗墓笔记2
5254315, 8.4, 22025, 盗墓笔记7
1882933, 8.1, 36146, 鬼吹灯之精绝古城
1812439, 8.1, 33578, 步步惊心
2326571, 8.6, 14161, 琅琊榜
1962929, 8.0, 35203, 佳期如梦
6953273, 8.6, 11240, 盗墓笔记
10601616, 9.3, 3775, 我爱摇滚乐
2283084, 8.2, 17494, 云中歌1
1316622, 8.4, 12265, 诛仙1
1926103, 8.0, 24275, 鬼吹灯之云南虫谷
3065343, 8.4, 12114, 云中歌3
1886385, 8.1, 17497, 来不及说我爱你
2048364, 8.1, 17487, 独步天下（上下卷）
2331434, 7.7, 36561, 原来你还在这里
2004407, 8.1, 16981, 后宫·甄嬛传Ⅰ
3016221, 8.3, 11640, 云中歌2
1916726, 7.9, 22323, 鬼吹灯之龙岭迷窟
1261471, 8.7, 5914, 香初上舞
1925232, 7.9, 20555, 大漠谣
3561591, 8.0, 16067, 凤囚凰（上中）
1024217, 7.4, 51660, 第一次的亲密接触
6974232, 8.0, 15194, 盗墓笔记8·大结局（上）
3155622, 8.3, 8936, 庆余年·壹
1316623, 8.4, 7629, 诛仙2
1016523, 7.5, 36705, 告别薇安
2376306, 7.8, 20237, 第三种爱情
2078219, 8.0, 14025, 且试天下1
1938591, 7.8, 19921, 鬼吹灯之昆仑神宫
1049070, 8.4, 7059, 等一个人咖啡
3123939, 8.0, 13144, 不负如来不负卿1
1959892, 8.2, 9214, 大漠谣·终结篇
3293231, 7.8, 17916, 许我向你看
1437858, 8.7, 4256, 天行健（全4册）
2080619, 8.2, 8820, 且试天下2
1489555, 7.8, 17109, 寂寞空庭春欲晚
2062202, 7.9, 14136, 绾青丝Ⅲ
4241870, 7.7, 19746, 我在回忆里等你
2009825, 7.6, 22202, 绾青丝Ⅰ
1410145, 8.3, 6600, 诛仙3
1012203, 7.6, 21610, 檞寄生
4866987, 8.6, 4133, 如果·宅
2129362, 8.0, 10029, 帝王业（上下）
3218402, 8.2, 7032, 不负如来不负卿Ⅱ·大结局
1420794, 8.2, 6987, 诛仙4
2028070, 7.8, 13344, 绾青丝Ⅱ
3034184, 8.0, 9438, 鬼吹灯Ⅱ之四巫峡棺山
3730731, 8.0, 9424, 许我向你看（终结篇）
1400048, 8.5, 4335, 搜神记Ⅰ-神农使者
1748232, 8.0, 9225, 忽而今夏
3522694, 8.6, 3734, 史上第一混乱·第一季神仙预备役
21242062, 8.2, 6390, 长相思
4115227, 7.5, 21242, 岁月是朵两生花
3061282, 7.6, 17392, 山月不知心底事
4212812, 8.7, 3021, 紫川（全五册）
1468493, 7.6, 16494, 梦回大清
2971446, 8.4, 4392, 桃花债 上
2149655, 7.7, 13359, 鬼吹灯Ⅱ之一·黄皮子坟
2213684, 8.3, 4941, 又一春
4108541, 8.6, 3238, 回国驯火记
3674353, 7.7, 12924, 沥川往事
3165386, 8.6, 3192, 庆余年·肆
3244065, 8.6, 3092, 庆余年·伍
3165135, 8.5, 3532, 庆余年·贰
1478890, 8.5, 3523, 杀手
2382094, 7.8, 10285, 绾青丝Ⅳ（上）
2382087, 7.8, 10170, 绾青丝Ⅳ（下）
1420368, 7.6, 14199, 裂锦
1925218, 7.4, 20952, 翻译官
3244068, 8.5, 3376, 庆余年·陆
1433726, 8.1, 5977, 诛仙5
26886310, 9.1, 1596, 有匪1
3183785, 7.7, 11503, 爱你，是我做过最好的事
2300626, 7.5, 16634, 蔓蔓青萝（全2册）
2699701, 7.6, 13697, 歌尽桃花
10561209, 8.9, 1972, 全职高手1·放逐斗神
3165385, 8.5, 3228, 庆余年·叁
1007334, 7.2, 29353, 草样年华
2265312, 7.7, 10815, 鬼吹灯Ⅱ之二·南海归墟
1007178, 8.3, 4126, 功夫
3111691, 8.5, 3075, 桃花债(下)
4871447, 7.5, 15284, 东宫
2281912, 7.7, 10481, 醉玲珑（上卷）
1400049, 8.6, 2656, 搜神记Ⅱ·大荒惊变
4252125, 8.7, 2335, 吉祥纹莲花楼·玄武
2570719, 8.3, 3971, 诛仙全集（全六册）
3903387, 7.7, 10296, 香蜜沉沉烬如霜
6139592, 8.1, 5218, 11处特工皇妃
2271177, 7.7, 10034, 青春酷语（第四辑）
3584141, 8.1, 5174, 流水迢迢（全两册）
2340167, 7.9, 7050, 醉玲珑（下卷）
4252115, 8.7, 2224, 吉祥纹莲花楼·朱雀
1770668, 8.0, 5684, 诛仙6
5291181, 8.3, 3574, Blood X Blood：血族传说
1083257, 7.4, 16052, 烈火如歌
4098989, 8.2, 4122, 我的青春从爱你开始
26680113, 8.6, 2386, 那个不为人知的故事
1426673, 8.6, 2336, 搜神记Ⅲ·灵山十巫
3284067, 7.6, 10626, 佳期如梦之海上繁花
2220812, 7.6, 10575, 木槿花西月锦绣1
2340168, 7.9, 6284, 醉玲珑（中卷）
26331014, 8.3, 3351, 怨氣撞鈴1·食骨
23795254, 8.0, 5204, 骄阳似我
4135947, 7.9, 6020, 天子谋
2221889, 8.3, 3289, 无限恐怖
2354969, 8.2, 3731, 衣香鬓影
2340300, 7.6, 9779, 鬼吹灯Ⅱ之三·怒晴湘西
4766047, 8.0, 5000, 祸国
26763013, 8.6, 2158, 魔道祖师
3727329, 7.3, 17220, 千山暮雪
3293232, 7.7, 8045, 过客，匆匆
1029475, 8.1, 4211, 若星汉天空
4224758, 7.3, 16010, 花千骨（上下）
3606570, 8.3, 2996, 鹤唳华亭
19936010, 7.9, 5408, 三生三世十里桃花
1958655, 7.6, 8928, 寻找前世之旅（上下册）
10468852, 8.6, 1941, 海棠依舊: 知否? 知否? 應是綠肥紅瘦 卷一
26284304, 8.1, 3799, 簪中录
2078225, 7.9, 5144, 孤芳不自赏
3909876, 7.9, 5123, 琉璃美人煞（上中下）
2359687, 8.0, 4310, 堕落天使
1430871, 8.5, 2137, 亵渎1·轮回·月陨
1878819, 8.6, 1884, 蛮荒记1·鲲鹏
3889682, 8.4, 2390, 饕餮娘子
1805988, 8.5, 2097, 庆熹纪事
1921362, 7.8, 5725, 诛仙7
2004509, 7.6, 8037, 梦回大清
3611391, 8.7, 1617, 史上第一混乱·第二季·山寨武校
1291760, 6.8, 41973, 会有天使替我爱你
3290028, 8.5, 2045, 孤城闭
3336465, 7.3, 13726, 被时光掩埋的秘密
3697979, 8.3, 2614, 衣香鬓影2·千秋素光同
25735699, 7.9, 4678, 三生三世 枕上书·终篇
3664145, 8.8, 1398, 史上第一混乱·第三季·武林大会
1430597, 8.9, 1239, 狼群1
3236155, 8.9, 1223, 韦帅望的江湖
2221121, 7.8, 5225, 木槿花西月锦绣2
10762477, 9.0, 1071, 全职高手2·千机初芒
5921737, 8.7, 1494, 三生三世十里桃花2·緣之卷
4124855, 7.4, 10346, 人生若只初相见
1426214, 8.1, 3227, 少林寺第八铜人
6969185, 8.3, 2405, 沉香如屑《中》
3816834, 7.8, 4971, 兰因·璧月（上、下）
2373834, 8.4, 2061, 新宋·十字1
1433700, 7.4, 9657, 孔雀森林
3924481, 7.9, 4127, 夜行歌（上下）
26578003, 8.2, 2638, 无心法师 第一卷
10867759, 9.0, 999, 全职高手3·副本风云
4842735, 8.4, 2004, 海妖
1886402, 7.4, 9436, 如果这一秒，我没遇见你
2143487, 8.0, 3472, 茅山后裔1
3028009, 7.2, 13773, 温暖的弦
3802381, 8.7, 1363, 史上第一混乱·第五季·寻秦记
3244671, 8.2, 2538, 盗墓笔记之2：怒海潜沙
20927775, 9.1, 864, 全职高手6·神之领域
3177843, 7.7, 5332, 木槿花西月锦绣3
2703292, 7.5, 7442, 兰陵缭乱
3829004, 8.3, 2163, 明月照人来
26352002, 8.4, 1837, 怨氣撞鈴4·黑蝶
2008976, 8.9, 1007, 庆熹纪事Ⅱ
1036243, 7.4, 8262, 夜玫瑰
3335951, 7.6, 5783, 我的波塞冬
4144066, 8.5, 1576, 江山（一）
2139108, 7.4, 8164, 潇然梦（上）
3037790, 8.2, 2300, 小楼传奇
24283160, 8.6, 1358, 间客
3170442, 7.7, 4601, 午门囧事Ⅰ
4922018, 7.6, 5401, 斗破苍穹 2
26320556, 8.3, 1887, 簪中录2
3392301, 7.8, 3826, 月上重火
26331660, 8.3, 1857, 怨氣撞鈴2·根鬚
1921433, 8.6, 1272, 蛮荒记2·青帝
3070952, 7.3, 8724, 佳期如梦之今生今世
26351997, 8.3, 1824, 怨氣撞鈴3·飛天
1442620, 7.4, 7177, 和空姐同居的日子
26674263, 8.4, 1586, 司藤（上下）
2176855, 7.5, 5932, 潇然梦（下）
3705820, 7.5, 5923, 斗罗大陆（全14卷）
3205245, 7.4, 7066, 落落清欢
4903361, 8.3, 1785, 侯卫东官场笔记2
13221012, 8.5, 1383, 神游
4129249, 8.7, 1090, 五大贼王1
5366006, 8.4, 1554, Blood X Blood：血族传说大结局
3891452, 7.7, 4164, 纸婚
20501270, 8.6, 1203, 大唐明月1·风起长安
3024940, 8.6, 1199, 新宋Ⅱ·权柄1
4725541, 7.6, 4814, 大漠苍狼
3321449, 9.1, 698, 韦帅望的江湖之大刃无锋
6531676, 8.4, 1516, 阿麦从军
1024854, 7.3, 8062, 成都，今夜请将我遗忘
2138527, 7.5, 5625, 法老的宠妃
3359946, 7.7, 4035, 盘龙（1～10部）
2005545, 7.4, 6630, 红颜乱
2298478, 8.6, 1173, 知北游
3250733, 7.8, 3360, 午门囧事Ⅱ
3577800, 9.1, 676, 韦帅望的江湖(Ⅲ众望所归)
1062326, 6.9, 17475, 爱尔兰咖啡
3042924, 8.1, 2153, 茅山后裔4
5264447, 7.5, 5401, 三千鸦杀
3069728, 7.1, 11261, 良辰讵可待
1742707, 8.4, 1429, 佣兵天下1
3245174, 8.4, 1428, 盗墓笔记之8：蛇沼鬼城III
3898994, 7.3, 7522, KAO，被潜了！
6712214, 7.9, 2781, 妳是我學生又怎樣
3053120, 8.6, 1110, 新宋Ⅱ·权柄2
1443276, 9.0, 719, 狼群2
6087472, 7.2, 8814, 浮世浮城
25912734, 7.2, 8813, 他来了，请闭眼
3100852, 7.7, 3606, 兰陵缭乱Ⅱ
25851002, 8.1, 1995, 世界微尘里
1283275, 8.5, 1200, 都市妖奇谈一
1792473, 8.3, 1530, 一代军师（第一部）
10451832, 8.1, 1985, 凰权（上下）
10563041, 8.5, 1194, 将夜之花开彼岸天
1012747, 7.2, 8468, 亦恕与珂雪
1048931, 7.6, 4126, 天堂向左，深圳往右
4929998, 8.3, 1502, 侯卫东官场笔记3
26613724, 7.6, 4096, 余罪
26365847, 7.6, 4079, 美人为馅
3074810, 7.3, 6753, 穿越与反穿越
1060779, 7.4, 5634, 圈里圈外
2111394, 8.3, 1475, 驱魔人·第一季·你是谁
26393180, 8.3, 1471, 怨氣撞鈴5·同路
25728092, 9.1, 606, 小张和小丽
1334600, 7.9, 2511, 不可抗力 上
6437035, 7.8, 2891, 扶摇皇后（上下）
10809121, 8.2, 1644, 沉香如屑《上》
3696953, 7.9, 2457, 绿红妆之军营穿越
3621144, 7.3, 6507, 良言写意
4218539, 7.3, 6472, 落花时节又逢君
1028916, 6.9, 14327, 雨衣
2342840, 8.4, 1255, 苏旷传奇
5276802, 8.6, 991, 饕餮娘子之岁寒记
25879588, 9.1, 586, 全职高手11·门票战争
3389971, 7.7, 3253, 永夜（上下）
2288853, 8.0, 2088, 茅山后裔2
4166020, 7.6, 3766, 殇璃
4197229, 8.1, 1802, 如意蛋 上
3671352, 7.4, 5249, 嗨，我的男人
10809124, 8.4, 1224, 沉香如屑《下》
11584484, 8.0, 2049, 将嫁
4090777, 7.9, 2346, 他，来自火星
4040223, 7.9, 2341, 坏事多磨
1440611, 7.9, 2316, 迷侠记
4057010, 8.0, 2009, 月上重火之水落石出
1026674, 6.9, 13446, 狼的诱惑
1464085, 7.8, 2647, 柔福帝姬
5275312, 7.5, 4193, 暴君，我来自军情9处
2244881, 8.4, 1161, 宝珠鬼话之锁麒麟
26689989, 8.0, 1926, 余罪2
3333758, 7.3, 5771, 大爱晚成
3829610, 7.8, 2523, 午门囧事Ⅲ·午门篇
6534919, 7.5, 4032, 然后、爱情随遇而安
25910906, 9.1, 534, 全职高手12·步步惊心
1043201, 6.8, 15034, 毕业那天我们一起失恋
10451835, 8.5, 970, 凰权（终结篇）
26315121, 9.2, 463, 全职高手18·十年荣耀
25803547, 7.8, 2339, 一生一世，美人骨
2375894, 7.9, 2019, 秀丽江山·白虎卷
5261719, 7.7, 2660, 只为爱
5245615, 7.6, 3094, 江山为聘
6730936, 8.2, 1324, 扶摇皇后·终结篇（上下）
4192766, 7.7, 2604, 凡人修仙传（1-10）
10566532, 8.6, 809, 海棠依舊：知否？知否？應是綠肥紅瘦 卷二
26745286, 8.5, 903, 七根凶簡 套裝
2974188, 7.6, 2988, 回到明朝当王爷
2341489, 7.1, 7112, 香寒
