2017-01-23 16:17:59
Tag: 美术
The number of books: 913 

ID, rating, votes, title
3162991, 9.6, 5253, 艺术的故事
1092149, 8.7, 8406, 梵高传
1441853, 8.9, 4439, 伯里曼人体结构绘画教学
25811462, 8.4, 7332, 小顾聊绘画·壹
3111928, 8.1, 4777, 安迪·沃霍尔的哲学
26265303, 8.2, 3831, 小顾聊绘画·贰
2026870, 9.4, 858, 阿尔丰斯·穆夏
1154707, 8.6, 2044, 素描的诀窍
1370944, 9.3, 893, 席勒（中文版- BASIC )
3410759, 9.0, 1141, 隔江山色
1047957, 9.2, 789, 比亚兹莱大师图典
1076426, 8.8, 1086, 世界美术名作二十讲
1055088, 8.3, 1729, 像艺术家一样思考
1227986, 9.2, 624, 护生画集
3334535, 8.5, 1258, 剑桥艺术史：绘画观赏
1019715, 8.8, 882, 世界名画家全集--莫奈
3175195, 8.7, 977, 美术史十议
4882050, 8.5, 1178, 竹久梦二：画与诗
1174739, 8.9, 696, 艺用人体解剖
3128801, 8.1, 1771, 写给大家的中国美术史
26417490, 8.2, 1551, 写给大家的西方美术史
1675113, 9.0, 582, 礼仪中的美术
1264792, 8.7, 768, 色铅笔的散步随笔
1145983, 8.5, 894, 中央美术学院附中50年作品经典
1039208, 8.4, 992, 凡高画传
4218686, 9.0, 490, 中国美术史讲座
2138351, 9.2, 406, E.席勒速写
25774379, 8.5, 791, 图说中国绘画史
21363162, 9.4, 323, 詹森艺术史（插图第7版）
1219614, 9.2, 375, 伦勃朗速写
1316396, 8.6, 646, 俄罗斯列宾美术学院珍藏素描精品选
1807843, 9.0, 420, 芥子园画谱
3581389, 9.4, 294, 吴冠中画作诞生记
10430691, 8.5, 684, 画家生涯
26647742, 8.8, 493, 陌生的经验
3105174, 7.7, 1820, 信封
3674485, 8.9, 440, 时空中的美术
1289793, 8.6, 593, 俄罗斯列宾美术学院珍藏素描精品选
21267489, 9.2, 329, 加德纳艺术通史
1437472, 8.9, 424, 笔记《清明上河图》
1036272, 8.5, 601, 素描基础
1004151, 8.6, 532, 艺用解剖
1001871, 8.7, 477, 梵高
1131501, 8.7, 473, 丢勒
26390189, 9.0, 353, 如何看懂印象派
2990422, 9.1, 322, 克里姆特
2362352, 9.3, 263, 莫奈
1264793, 8.4, 610, 水彩画的写意生活
1606879, 9.2, 278, 莫兰迪
3464448, 8.4, 571, 剑桥艺术史：17世纪艺术
26431217, 8.6, 457, 在江湖
1679155, 8.9, 331, 莫奈
1084866, 8.7, 394, 莫奈
3065652, 8.0, 828, 像艺术家一样思考Ⅲ:贝蒂的色彩
1017227, 9.0, 293, 温迪嬷嬷讲述绘画的故事
1009963, 8.9, 310, 唯美主义大师图典
1445978, 9.1, 255, 阿道夫·门采尔人物素描集
2162209, 8.3, 543, 外号像颗怪味豆-伍美珍作品
2382924, 8.1, 665, 色彩的性格
2010622, 8.5, 431, 超级漫画素描技法-基础篇
1131497, 8.7, 353, 奥列佛风景建筑速写
26354318, 9.1, 247, 梵高传
1038523, 8.8, 318, 人体素描
4606351, 9.1, 236, 傅雷谈艺录
1252151, 8.2, 547, 康定斯基论点线面
4265920, 9.3, 194, 形状游戏
1038677, 8.9, 264, 杜尚访谈录
1149896, 8.7, 311, 马蒂斯
1193646, 8.9, 240, 莫奈
1595962, 9.1, 202, 阿道夫·门采尔速写
25872094, 7.5, 1101, 如何看一幅画
1264791, 8.2, 460, 色铅笔的动物日记
1081182, 8.6, 307, 世界名画家全集--蒙克
2149449, 8.8, 251, 绘画史事
3168709, 8.6, 294, 风格与世变
2266126, 8.8, 244, 书戏
20387173, 8.5, 320, 30天学会绘画
1480064, 8.7, 265, 夏加尔
4721058, 9.5, 140, Figure Drawing
20389355, 8.5, 316, 水彩色铅笔之旅
1795382, 7.9, 581, 上海寓言
20411692, 8.9, 211, 隐秘的知识
1479591, 9.4, 142, Gustav Klimt
1157182, 9.1, 177, 艺术家手册
1923636, 8.7, 243, 从莫奈到毕加索
3038328, 8.6, 265, 浮世绘
1446300, 8.1, 432, 丰子恺谈名画
1002701, 8.9, 200, 中国绘画三千年
2261529, 8.3, 342, 你能读懂的西方美术史
2224412, 8.5, 278, PHOTOSHOP CS/CS2 WOW!BOOK
1046584, 8.5, 277, 米开朗琪罗传
1149897, 9.1, 164, 马格里特
1099604, 8.6, 248, 动态素描·人体解剖
1264120, 8.0, 436, 我的色铅笔日记本
1484422, 8.9, 185, 凡·高自传
1097816, 9.2, 146, 吴冠中速写意境
10742073, 8.6, 238, 水彩画完全自学教程
1057552, 8.8, 200, 黄永玉大画水浒
1212372, 8.1, 384, 弗里达
1054384, 7.9, 478, 西方美术史十五讲
3315749, 8.8, 194, 绘卷水浒传
1817964, 8.4, 277, 于小冬讲速写
5417093, 8.9, 177, 水彩入门
3529322, 8.4, 273, 水彩画工作室 I
5363491, 8.6, 227, 千年丹青
2225512, 8.5, 248, 超级漫画素描技法-草图篇
1444827, 8.7, 205, 英国儿童读物插画完全教程
1148711, 8.2, 319, 毕加索
5980848, 8.8, 184, 美国设计学院教授讲课手稿·奥列佛风景速写教学
26845886, 9.1, 145, 野作
3799728, 9.4, 115, 克劳德·莫奈
1131498, 8.6, 213, 达·芬奇
4254481, 9.6, 100, 人体素描
1119281, 8.7, 192, 动态素描·人体结构
25842278, 7.6, 585, 奈良美智48个女孩
19950884, 9.1, 137, 视觉艺术用光
1421566, 8.8, 171, 埃舍尔魔镜
4154939, 9.5, 102, 宋画全集
1010199, 8.2, 290, 像艺术家一样思考之二
1797637, 8.1, 320, 西方美术简史
1099611, 8.7, 183, 动态素描·头部结构
6437861, 9.2, 121, 2011 sketch collection
1463340, 8.9, 151, 凡·高
1057887, 8.4, 228, 世界名画家全集--达利
3622449, 8.6, 190, 我与西藏组画
1119268, 9.0, 137, 动态素描·着衣人体
20513213, 9.0, 137, 色彩与光线
2090395, 8.8, 158, 铅笔画技法
1005299, 8.1, 296, 与莫奈赏花
4881500, 8.9, 145, 油画的光与色
2274208, 8.1, 289, 小熊和最好的爸爸（全7册）
1326012, 7.5, 565, 你应该读懂的100幅世界名画
1438525, 7.7, 441, 浮世绘的故事
1947469, 8.2, 257, 后现代主义艺术系谱
1029439, 8.6, 175, 京洛四季
1205346, 9.1, 118, 向大师学绘画
1016437, 8.7, 160, 探索日本之美
1442199, 8.6, 173, 艺用人体解剖
1311346, 8.4, 201, 解构人体
3572516, 9.4, 93, 外国名家油画精品系列：凡高
22994564, 9.5, 87, 哥特艺术
2362359, 9.2, 105, 常玉
