2017-01-23 16:17:59
Tag: 耽美
The number of books: 941 

ID, rating, votes, title
3095638, 9.2, 4481, 同級生
10601616, 9.3, 3775, 我爱摇滚乐
6531656, 9.4, 3041, 麒麟之与子同袍
4186113, 9.5, 2326, 卒業生?春?  ＥＤＧＥＣＯＭＩＸ
4186109, 9.5, 2195, 卒業生?冬? ＥＤＧＥＣＯＭＩＸ
6730371, 9.5, 1851, 麒麟之生死與共
1753798, 8.5, 5626, Zetsuai 01
6730832, 9.5, 1623, 麒麟之快意人生
3215305, 9.1, 2359, どうしても触れたくない
1394433, 8.4, 5802, 藍宇
6896252, 9.5, 1422, 麒麟之兵天血地
5290433, 8.7, 3483, 当代诗人作家书画集
2222551, 8.5, 4284, 纨绔
1559296, 9.1, 1990, 成功者的肖像
1919644, 9.3, 1588, Ｊの総て　１
1947668, 8.9, 2459, 纽约纽约
3015357, 9.1, 1865, 美しいこと 上
2971446, 8.4, 4392, 桃花债 上
2213684, 8.3, 4941, 又一春
4108541, 8.6, 3238, 回国驯火记
3292972, 8.5, 3679, 艳鬼
4282178, 9.2, 1479, あなたのためならどこまでも
3715335, 9.4, 1190, 俎上の鯉は二度跳ねる
1751925, 8.3, 4518, 引玉
3612285, 9.3, 1288, 憂鬱な朝 (1)
1919647, 9.4, 1160, Ｊの総て ２
5299409, 8.6, 2837, 犹记斐然
3399073, 9.1, 1552, 創造發明的思路
4151599, 9.4, 1125, 花は咲くか 1
3015359, 9.1, 1540, 美しいこと 下
20416178, 9.5, 1009, 囀る鳥は羽ばたかない 1
2078991, 8.7, 2384, 绝爱-BRONZE-
3111691, 8.5, 3075, 桃花债(下)
2214034, 9.2, 1272, 窮鼠はチーズの夢を見る
1844449, 9.0, 1574, 日出処の天子 1
1949011, 8.1, 4856, 一個爹爹三個娃
3831258, 9.1, 1328, ダブルミンツ
3334382, 9.0, 1468, 世界第一的初恋
3764960, 9.2, 1152, セブンデイズ
3090154, 8.9, 1597, SEVEN DAYS MONDAY→THURSDAY
1774584, 8.6, 2281, 微忧青春日记
3887847, 8.5, 2573, 浮光
3928269, 9.1, 1247, 世界一初恋 ~小野寺律の場合2~
2020973, 8.7, 1950, 天鹅奏鸣曲
26763013, 8.6, 2158, 魔道祖师
1919635, 9.1, 1166, コペルニクスの呼吸1
4922573, 8.9, 1452, 新编上下五千年(共12卷)
5354510, 9.0, 1297, 花のみぞ知る 1
4734919, 8.5, 2323, 大劈棺
10577874, 9.5, 759, スメルズライクグリーンスピリット
2073249, 8.7, 1764, 妖色小周
1418826, 8.4, 2577, 西洋骨董洋果子店
2081058, 8.4, 2549, 归途
1946015, 8.6, 1957, 犹记多情
2156992, 9.1, 1086, 课时达标练与测:数学(1年级)(下)(配北师)
2135149, 8.4, 2470, 晨曦 上
2263266, 9.3, 878, ばら色の頬のころ (F COMICS)
1966617, 9.0, 1199, 檻の外
1924373, 8.7, 1684, 哇!今夜哪里有鬼!
2082239, 8.0, 4290, 凤非离
1945030, 8.3, 2754, 冰之魔物语(24)
2222148, 8.4, 2405, 迟爱 下
4807830, 8.7, 1647, 生死予奪 上
3213367, 9.0, 1166, 昨日的美食 01
10767068, 9.0, 1149, 愛快羅密歐
20499504, 9.5, 678, 麒麟·戰爭之王·浴血南珈
2081063, 8.4, 2213, 殊途
2056020, 8.4, 2212, 看朱成碧（上）
2037409, 8.8, 1351, 噢!今夜哪里有鬼
20499500, 9.5, 651, 麒麟·戰爭之王·劫後重生
1966610, 9.0, 1057, 箱の中 (Holly Novels)
1469429, 8.4, 2144, 相思门
4025916, 8.6, 1619, 唇诺
20499503, 9.5, 612, 麒麟·戰爭之王·海外護航
2037406, 8.8, 1248, 嘘!今夜哪里有鬼
10571368, 9.1, 888, 空と原
2994917, 8.9, 1095, 戀愛暴君 3
3004200, 9.1, 882, Orso e intellettuale
3126787, 9.2, 795, 是 -ZE- (3)
2037410, 8.8, 1214, 嘿!今夜哪里有鬼
3139234, 8.7, 1361, 纯情罗曼史
2107816, 8.3, 2235, 无声深处
2037411, 8.8, 1208, 哈!今夜哪里有鬼
6794149, 8.7, 1329, 一生孤注掷温柔
6114945, 9.5, 580, 憂鬱な朝 3
1904430, 8.0, 3269, 谢长留
6266437, 9.5, 562, 卒業アルバム
2222523, 7.9, 3657, 恋爱中毒的仙术师
2265873, 8.1, 2695, 思凡
3037790, 8.2, 2300, 小楼传奇
11576713, 9.2, 723, 花のみぞ知る 3
3881584, 8.8, 1082, 第十年
2994916, 8.8, 1054, 戀愛暴君 2
1999983, 7.8, 3876, 不能动
2081078, 8.2, 2165, 无处可寻
3206190, 8.9, 928, 戀愛暴君 4
3609422, 8.4, 1633, 错觉 (上)
1860523, 8.3, 1798, 鳳于九天之一魂落西雷
4920005, 9.0, 794, 终极往事
2056016, 8.5, 1382, 看朱成碧（下）
21357206, 9.7, 412, スメルズライクグリーンスピリット SIDE:B
2138221, 8.6, 1220, 是-ZE- 1
21332574, 9.2, 627, 花のみやこで
6872412, 9.1, 674, 花のみぞ知る 2
2056018, 8.5, 1288, 看朱成碧（中）
24759683, 9.0, 742, 末日曙光
