2017-01-23 16:17:59
Tag: 艺术家
The number of books: 191 

ID, rating, votes, title
1059419, 8.1, 58711, 海边的卡夫卡
1291809, 8.5, 24112, 世界尽头与冷酷仙境
1092149, 8.7, 8406, 梵高传
1031740, 8.1, 18275, 寻羊冒险记
1003284, 8.1, 17918, 退步集
1212080, 8.4, 10065, 奇鸟行状录
1914636, 8.4, 10016, 蛤蟆的油
1441853, 8.9, 4439, 伯里曼人体结构绘画教学
26707463, 8.9, 4263, 月亮与六便士
3014444, 8.7, 4668, 自深深处
1933931, 8.7, 3681, 沿着塞纳河到翡冷翠
19962936, 8.7, 3440, 只是孩子
1035362, 7.9, 10731, 神的孩子全跳舞
2294993, 8.2, 5146, 纽约琐记（修订版）
1061029, 8.8, 2159, 杜尚访谈录
6392685, 8.2, 4532, 奈良美智·用小刀划开
3111928, 8.1, 4777, 安迪·沃霍尔的哲学
2026870, 9.4, 858, 阿尔丰斯·穆夏
1012039, 8.1, 3824, 我的视觉日记
1021856, 8.9, 1134, 亲爱的提奥
1097835, 8.0, 2891, 名人传
1055088, 8.3, 1729, 像艺术家一样思考
1064271, 8.0, 2509, 多余的素材
2979694, 9.2, 558, 赫尔佐格谈赫尔佐格
26848051, 8.8, 803, 造房子
1016832, 8.5, 1056, 我负丹青
26666533, 9.2, 499, 梵高手稿
1760134, 9.1, 539, 茨威格小说集
1879906, 8.4, 1010, 我的视觉日记
1322264, 7.8, 2182, 陈丹青音乐笔记
3891385, 8.1, 1330, 制造伍德斯托克
1057827, 8.2, 1168, 纽约琐记（上、下册）
2138351, 9.2, 406, E.席勒速写
3055691, 8.2, 1057, 威尼斯之死
2129831, 8.2, 986, 美与暴烈
1036793, 8.0, 1083, 杜拉斯传
1131501, 8.7, 473, 丢勒
1963674, 7.7, 1510, 陈丹青 艾未未：非艺术访谈
1072239, 8.3, 675, 和尚与哲学家
1792758, 8.3, 671, The Moon and Sixpence
3662742, 8.3, 546, 天堂在另外那个街角
26354318, 9.1, 247, 梵高传
1065159, 8.6, 366, 尼金斯基手记
1150256, 8.8, 290, 达利
1065531, 8.4, 421, 我的爱我的自由
1149896, 8.7, 311, 马蒂斯
1858193, 8.7, 300, 疯狂的眼球
1771002, 8.6, 320, 托马斯.曼文集-中短篇小说选
1321315, 8.0, 570, 半梦
2078883, 8.3, 394, 毕加索的成败
1480064, 8.7, 265, 夏加尔
1076234, 8.7, 252, 人类的音乐
3011518, 7.5, 859, 设计的精神
1149897, 9.1, 164, 马格里特
1426817, 8.3, 322, 陌生人日记
1484422, 8.9, 185, 凡·高自传
1986074, 7.0, 1661, 我们始终没有牵手旅行
2046455, 8.6, 229, 笑談大先生
5360643, 8.6, 228, 缘缘堂随笔
1148711, 8.2, 319, 毕加索
3929911, 8.2, 297, 我的视觉日记
1072021, 8.2, 288, 傅聪：望七了！
3042990, 7.4, 695, 郎朗 千里之行：我的故事
1057887, 8.4, 228, 世界名画家全集--达利
3017768, 8.9, 148, 埃贡·席勒
2253778, 7.8, 417, 皮娜·鲍什
2000789, 8.1, 291, 里芬施塔尔回忆录
6813398, 7.3, 723, 艺术战斗论
1854991, 8.4, 211, 安迪·沃荷的普普人生
1380573, 9.1, 119, 席勒
2972534, 8.1, 279, 爱那么短 遗忘那么长
1068403, 8.5, 183, 通过杜尚
2362359, 9.2, 105, 常玉
4323894, 7.8, 355, 像野狗一样生存
1322427, 7.3, 644, 亲爱的坏品味
1900088, 9.3, 95, Marlene Dumas (Contemporary Artists)
1039636, 7.9, 306, 达利谈话录
2224901, 8.7, 144, The Philosophy of Andy Warhol
1721797, 7.9, 300, 名人传
1480809, 8.8, 129, 舞台生活四十年：梅兰芳回忆录（全两册）
1058251, 8.2, 210, 达利自传
1947564, 7.6, 388, 弗里达
1737317, 8.3, 169, 我的生活
26313206, 8.7, 120, 看名画的眼睛.1
3062958, 8.8, 111, 草间弥生全版画集
1041323, 8.1, 198, 巴黎的盛宴
3830593, 8.5, 132, 艺术家的真实
1004122, 8.3, 154, 邓肯自传
1193644, 8.5, 130, 夏加尔
1127659, 8.2, 160, 波希米亚人
1148214, 8.6, 109, 梅纽因访谈录
1721772, 9.5, 57, 1996-2005
2128929, 9.2, 65, Peter Doig
1785919, 7.8, 195, 凡·高与高更
1074162, 8.5, 98, 世界名画家全集--莫迪利阿尼
1018479, 8.5, 96, 德拉克罗瓦日记
1032814, 8.6, 89, 艺术家的传奇
1067332, 8.4, 103, 大雅宝旧事
1031927, 7.7, 190, 毕加索画传
1195237, 8.6, 84, 西方美术史话
1199264, 8.9, 67, 艺术：让人成为人
1242263, 8.7, 75, 看不见的收藏(德汉对照分级读物)
1859905, 9.7, 41, Andrew Wyeth
1853113, 8.0, 126, 格伦·古尔德的生活与艺术
1132669, 7.8, 149, 达利谈话录
1154933, 8.7, 72, 我爱巴赫
1763330, 6.7, 512, 星之碎片
1203268, 8.0, 113, 天才
3522393, 8.4, 81, 丢勒和他的时代
2307165, 8.0, 106, 范曾谈艺录
2282705, 7.4, 187, 绝顶天才的混蛋
2377980, 8.1, 96, 跟雲門去流浪
2032584, 8.2, 87, 毕加索：创造者与毁灭者
4606534, 8.6, 62, 失忆与记忆
1188789, 8.1, 89, 李斯特论肖邦
1429281, 8.3, 76, 世界名画家全集
1037867, 7.7, 125, 达利
1151886, 8.2, 81, 马蒂斯论艺术
1432875, 9.6, 33, Sviatoslav Richter
5401130, 7.5, 143, 看懂了！超简单有趣的现代艺术指南
3046305, 7.5, 142, 安迪·沃霍尔
1015607, 8.0, 90, 生命的热情何在
1091124, 9.2, 38, 卡尔·弗莱什回忆录
2078113, 8.2, 71, 美丑缘
26649861, 9.3, 35, 创世：梵蒂冈博物馆全品珍藏
1072657, 7.9, 85, 欧姬芙
1227921, 7.5, 103, 美丽与哀愁：一个真实的梅艳芳
26794102, 8.3, 50, 图解欧洲艺术史：14世纪
24861020, 8.4, 45, 要么庸俗 要么孤独
1054667, 7.8, 67, 戈雅
5395499, 9.3, 26, KAWS
10769652, 8.4, 42, 书法是万人的艺术
1789754, 8.7, 35, Ai Weiwei Works
1936788, 7.8, 64, 20世纪最后的浪漫──北京自由艺术家生活实录
2124167, 9.2, 26, 中国钢琴诗人——顾圣婴（附CD2张）
1085399, 8.4, 40, 赵无极自传
5419812, 7.9, 55, 李小龙
3633739, 8.0, 49, 世界名画家全集--契里柯
1996142, 7.5, 68, 花.骨头.泥砖屋
1478410, 8.7, 30, Fresh Cream
1312561, 7.4, 73, 群星闪烁的法兰西
1843203, 7.1, 94, 我的爷爷毕加索
3021943, 9.0, 24, Joel-Peter Witkin
1792403, 8.1, 39, 人生苦旅-伦勃朗传（全2册）
2008104, 7.8, 47, 蒋碧微回忆录
1357896, 8.8, 25, 我負丹青：吳冠中自傳.
1034675, 7.3, 63, 杜尚
26430978, 8.9, 22, 小小艺术家Ⅱ
1064464, 8.5, 27, 弗美尔
3577157, 7.8, 41, 以艺术家的方式工作
6534164, 8.4, 28, 洛克威尔
1072920, 8.1, 28, 勃鲁盖尔
1785667, 8.9, 18, Kiki Smith
26763735, 7.5, 40, 四季餐桌
1025793, 7.8, 30, 蒙马特尔传奇画家:劳特累克
25891108, 8.1, 24, 影响我们时代的100位新锐艺术家
26795068, 7.2, 44, 无码：艺术大师的秘密生活
1470577, 8.5, 19, The Letters of Vincent Van Gogh
4318000, 7.5, 33, 飞越好莱坞
26793699, 6.6, 70, 笔误：文学大师的秘密生活
1052280, 7.9, 25, 米开朗琪罗诗全集
1389203, 8.5, 17, Gustav Klimt
2000834, 8.2, 19, 音乐的人文诠释
1151263, 6.7, 51, 千万别当艺术家
6721212, 7.1, 35, 创意空间
2678022, 6.8, 41, 漫游者的超越
1321814, 6.4, 60, 帕格尼尼的手
11626960, 6.6, 47, 我和郎朗30年
3349422, 7.3, 24, 达利的梦幻与怪诞
1377766, 7.5, 20, 達比埃斯：西班牙非定形繪畫大師
4775113, 6.5, 39, 工作坊
1272271, 6.6, 34, 安迪·沃霍尔与约瑟夫·波依斯
1837326, 7.6, 17, 行走的画帝
1915710, 7.4, 19, 舞蹈之神
2982905, 7.4, 19, 恶之花
25801145, 7.3, 19, 费顿?焦点艺术家——罗伯特?劳申伯格
5395620, 7.0, 23, 大人物
1343734, 8.0, 13, Andy Warhol : 365 Takes
1062743, 7.4, 17, 法国古典画象征:普桑
1001592, 7.5, 15, 劳特累克传
26800762, 6.6, 25, 跑调：音乐大师的秘密生活
25709111, 8.2, 10, 穿起皇帝的新装
1819066, 7.2, 15, 我的老师启功先生
1161608, 7.6, 12, 东方的理想
1850793, 7.6, 12, Man Ray
1914265, 7.4, 13, 私密空间
4927673, 6.9, 16, 毕加索的创造与毁灭
2228603, 7.7, 10, 培根訪談錄
1983823, 7.5, 10, My Story
26820867, 7.3, 10, 创造性思维十一讲
2037917, 7.1, 10, 時代的臍帶 : 張曉剛繪畫
