2017-01-23 16:17:59
Tag: 蒲松龄
The number of books: 42 

ID, rating, votes, title
1098643, 8.7, 5491, 聊斋志异
1015104, 9.3, 1162, 陶渊明集
1949466, 9.5, 224, 聊齋志異會校會注會評本（全四冊）
3567384, 8.9, 293, 聊斋志异
1024666, 7.6, 1156, 王氏之死
6750187, 7.6, 1117, 王氏之死
2266640, 8.8, 183, 聊斋志异选
1030695, 9.2, 92, 聊斋志异
4074706, 8.0, 234, 蓝胡子的蛋
1881838, 7.7, 271, 白话聊斋
1082786, 8.9, 94, 聊斋志异
1208248, 8.2, 123, 白话聊斋
5298484, 7.2, 294, 无聊斋
1030777, 8.7, 46, 聊斋志异选
1203455, 8.8, 40, 聊斋志异
1751701, 8.9, 37, 聊斋志异
1736650, 9.0, 33, 聊斋志异选
1592781, 8.1, 53, 聊斋志异
1337327, 9.3, 26, 全校会注集评聊斋志异
1082231, 9.1, 28, 聊斋志异图咏(上、下册 彩页插图本)
1750704, 9.4, 21, 聊斋志异
1960243, 9.0, 25, 聊斋志异
6722895, 7.9, 46, 聊斋志异
2284466, 8.6, 28, 聊斋故事（二）
3286033, 8.6, 28, 聊斋志异
26672941, 7.5, 58, 旧时书
5392912, 9.0, 21, 聊斋志异
4758256, 7.4, 53, 梦幻之美
3060302, 8.6, 23, 白话全本聊斋志异
3198468, 7.5, 39, 白话聊斋（共2册）
1315303, 6.9, 50, 马瑞芳讲聊斋
6059269, 7.9, 15, 聊斋志异
3181480, 7.6, 17, 聊斋志异
4744197, 7.3, 18, 马瑞芳趣话聊斋爱情
1921332, 7.9, 13, 聊斋志异
2041894, 7.6, 13, 评注聊斋志异选
1157005, 7.7, 12, 聊斋志异选
1125608, 7.5, 12, 王刻聊斋志异校注
6805148, 7.5, 12, 聊斋故事（一）
5360038, 7.8, 10, 聊斋志异（全三册）
1538461, 7.5, 11, 白话聊斋志异（上下）
25778639, 7.3, 11, 聊斋志异译注
