2017-01-23 16:17:59
Tag: 西游记
The number of books: 146 

ID, rating, votes, title
2567698, 8.8, 125637, 三体
1389960, 9.2, 22054, 七龍珠 34
1003000, 8.4, 54134, 悟空传
1029553, 8.7, 20406, 西游记（全二册）
4086927, 8.5, 4815, 煮酒探西游
1205372, 8.1, 7310, 茶花女
2217788, 9.5, 653, 三鹿人成功之路
1854151, 9.2, 782, 金圣叹批评本水浒传
2228794, 8.8, 645, 西遊奇伝 大猿王 (1)
1010036, 8.6, 467, 西游记漫话
2253111, 8.0, 854, 玄奘西游记(上下)
20424572, 8.6, 390, 敢问路在何方
1006635, 7.1, 2572, 沙僧日记
1040303, 8.4, 419, 西游记――大战牛魔王
1461934, 8.4, 402, 孙悟空大战机械人
2266558, 8.5, 334, 西游补
1839260, 8.4, 341, 悟空前传--斗佛
3998030, 8.6, 257, 妖怪记事簿
4824168, 9.0, 174, 西遊奇伝 大猿王 (2)
1875743, 8.8, 171, 西游新记
1397886, 8.3, 263, 西游记与中国古代政治
1008563, 8.2, 290, 后西游记
10344038, 7.5, 622, 大唐泥犁狱
1922566, 8.7, 161, 西游记（上下）
20414893, 7.8, 367, 齐天传
1059133, 7.4, 543, 沙僧日记
1076197, 8.8, 130, 西游记  上下
4005454, 7.4, 514, 妖眼看西游
20562025, 6.8, 1195, 西游降魔篇
3071693, 8.5, 151, 中国古典小说
1891789, 8.4, 156, 明代小说四大奇书
1881674, 9.0, 95, 西游记
2255869, 8.0, 202, 小话西游
25703280, 8.5, 126, 游金梦
3077841, 9.1, 81, 孙小圣和猪小能
2170660, 8.2, 152, 八卦西游记
26799357, 8.6, 103, 情关西游
1844795, 8.7, 90, 李卓吾批评本西游记（上下）
1606284, 9.7, 45, 刘继卣《闹天宫》
5404558, 7.9, 160, 神仙太寂寞，妖怪很痴情
2128483, 9.3, 54, 西游记
3027985, 7.5, 220, 佛本是道6
2372397, 9.1, 50, 西游漫记
3177946, 7.3, 211, 天庭内幕
1891191, 7.7, 138, 后西游记
3535360, 8.8, 58, 西游记
1512478, 8.5, 68, 西游往事
26834128, 8.4, 73, 一品芝麻狐2·探林卷
1070659, 7.4, 163, 古国怪遇记
4838726, 8.2, 79, 揭密取经门
2160312, 7.6, 128, 看罢西游不成精
1925154, 8.4, 59, 《红楼梦》、《西游记》与其他
1701069, 8.5, 54, 嘻游记
2325934, 8.1, 67, 资产阶级自由化言论辑录
1536635, 7.6, 94, 西游记的秘密
3772799, 7.3, 124, 西游记潜规则
19985743, 9.5, 27, 西游记：老版连环画
3105143, 8.8, 35, 西游记
11586555, 8.0, 58, 路在脚下
4065177, 9.0, 30, 西游记
26806746, 7.4, 90, 行者
3226562, 7.8, 63, 解码《西游记》
3022013, 8.9, 29, 西游记（全二册）
2254468, 7.8, 57, 品西游
3435083, 7.6, 57, 大聖王(01)
25848311, 8.2, 37, 杨洁自述
25830713, 7.9, 44, 踉跄画西游
26596091, 7.8, 47, 跟《西游记》学创业
6983575, 7.6, 52, 西游真解
1086796, 7.3, 66, 西游记后传
10468329, 7.5, 55, 大话西游
6041322, 7.7, 46, 揭秘取经门
26900138, 9.0, 21, 万万没想到
3789514, 8.7, 24, 真假孙悟空
3013003, 8.4, 28, 新西游记
10472944, 7.0, 72, 《西游记》之七大圣全传
11592898, 7.5, 43, 西游原来是禁书
2023220, 7.7, 36, 奇特的精神漫游
2229354, 8.6, 20, 猴王出世
5422827, 7.4, 41, 妖精有话说
6709605, 7.9, 28, 留学僧
3008251, 7.2, 42, 四游记
2310152, 8.3, 18, 齐天小圣
