2017-01-23 16:17:59
Tag: 计算机
The number of books: 961 

ID, rating, votes, title
6709783, 9.1, 16732, 浪潮之巅
6021440, 8.8, 12973, 黑客与画家
1885170, 9.4, 4553, 算法导论（原书第2版）
1291204, 9.4, 3887, 哥德尔、艾舍尔、巴赫
1139336, 9.4, 3640, C程序设计语言
1767741, 9.2, 4054, C++ Primer 中文版（第 4 版）
10750155, 8.7, 7442, 数学之美
3323633, 8.6, 8587, 写给大家看的设计书（第3版）
1477390, 9.3, 3204, 代码大全（第2版）
1230413, 9.5, 2441, 深入理解计算机系统
1788421, 9.4, 2039, UNIX环境高级编程
1148282, 9.5, 1664, 计算机程序的构造和解释
2130190, 9.1, 2599, Java编程思想 （第4版）
2243615, 9.2, 2220, Head First 设计模式（中文版）
1052241, 9.1, 2475, 设计模式
4889838, 9.1, 2108, 鸟哥的Linux私房菜
1088054, 9.2, 1760, TCP/IP详解 卷1：协议
3227098, 9.2, 1738, 编程珠玑
2377310, 9.2, 1711, C专家编程
25902942, 9.0, 2041, 文明之光（第一册）
1467587, 9.0, 1952, UNIX编程艺术
1229923, 9.0, 1924, 重构
4822685, 9.2, 1491, 编码
1240002, 9.2, 1434, C Primer Plus
10546125, 9.3, 1218, JavaScript高级程序设计（第3版）
1231590, 9.2, 1272, Effective C++中文版
3590768, 9.1, 1403, JavaScript语言精粹
2061116, 9.6, 840, Pattern Recognition And Machine Learning
1091086, 9.1, 1336, 深度探索C++对象模型
4163938, 8.7, 2112, 软件随想录
3652388, 8.8, 1741, 程序员的自我修养
20429677, 7.5, 12047, 大数据时代
3004255, 8.4, 2846, 编程之美
3037562, 9.3, 975, 汇编语言（第2版）
1140457, 9.1, 1184, 敏捷软件开发
1231910, 9.5, 783, 具体数学（英文版第2版）
1102259, 8.4, 2683, 人月神话
1500149, 9.4, 841, UNIX网络编程
1152111, 8.6, 2011, 程序员修炼之道
1152971, 9.0, 1238, DOOM启世录
11505704, 9.1, 1102, The Ph.D. Grind
3360807, 9.1, 1090, Effective java 中文版（第2版）
1139426, 8.9, 1327, 数据结构与算法分析
4326057, 8.9, 1304, Excel图表之道
3288908, 9.0, 1166, 集体智慧编程
3420144, 9.1, 991, Pro Git
5313010, 7.9, 4496, Facebook效应
3012360, 9.0, 1070, C和指针
2778632, 8.9, 1130, C陷阱与缺陷
25752043, 8.7, 1386, 信息简史
2154713, 8.9, 969, 精通正则表达式
1110934, 8.7, 1100, STL源码剖析
1099889, 8.9, 872, C++程序设计语言（特别版）
1921890, 8.7, 1067, JavaScript DOM编程艺术
3924175, 8.6, 1186, 构建高性能Web站点
6749832, 9.0, 761, 复杂
10590856, 8.9, 839, 统计学习方法
3296317, 9.1, 678, 编译原理
7056800, 9.5, 464, Ruby元编程
10746113, 8.7, 1004, HTTP权威指南
5948760, 8.8, 891, A Byte of Python
3319935, 8.2, 1758, 走出软件作坊
2334288, 8.3, 1544, 大话设计模式
5372651, 8.3, 1536, 程序员的思维修炼
3040870, 8.9, 770, Head First HTML与CSS、XHTML（中文版）
6965746, 8.2, 1642, 科技想要什么
1179807, 8.8, 803, 计算机网络
2000732, 8.8, 766, Head First Java（第二版·中文版）
19952400, 9.4, 393, 算法（第4版）
1130500, 9.3, 429, 计算机程序设计艺术（第1卷）
1110941, 8.9, 613, C++标准程序库
3294335, 9.4, 380, The Elements of Statistical Learning
4199741, 8.5, 924, 代码整洁之道
1088168, 8.9, 596, Windows 程序设计：第5版
1206206, 8.2, 1303, 皇帝新脑
1391740, 8.4, 1015, 逻辑的引擎
1232061, 8.7, 726, JAVASCRIPT权威指南(第四版)
10484692, 9.0, 530, Java并发编程实战
1781451, 8.7, 716, JAVA 2核心技术 卷Ⅰ
4141733, 9.0, 527, Linux C编程一站式学习
1391207, 8.8, 629, 计算机网络（第4版）
1440658, 8.3, 1091, Dive Into Python
3852290, 9.0, 510, 现代操作系统（第3版）
1632977, 9.3, 385, The Little Schemer - 4th Edition
2130743, 9.0, 501, 离散数学及其应用（原书第5版）
1482240, 8.6, 751, 深入浅出 MFC 第二版
1898098, 8.4, 932, 精通CSS
3267945, 7.9, 1731, 疯狂的程序员
1834728, 8.8, 592, 人工智能的未来
6756090, 8.4, 904, 松本行弘的程序世界
3117898, 8.7, 624, Python源码剖析
25768396, 8.7, 606, 深入浅出Node.js
10797189, 8.6, 669, 编写可读代码的艺术
24739213, 9.1, 404, 浪潮之巅（上册）
26665230, 8.6, 659, 硅谷之谜
1108725, 8.2, 1028, 人件
6522893, 8.6, 644, 深入理解Java虚拟机
1173548, 9.0, 430, 程序设计实践
4088038, 8.9, 467, Perl语言入门
10522003, 8.3, 868, 艾伦·图灵传
4866934, 7.9, 1418, Python基础教程
4164024, 8.2, 966, 高效程序员的45个习惯
4924165, 9.5, 269, CLR via C#
1503819, 8.7, 550, Linux内核设计与实现
10769749, 8.1, 1073, 推荐系统实践
4006425, 7.7, 1815, 我是一只IT小小鸟
1241385, 8.9, 439, More Effective C++中文版
4031906, 8.9, 439, 冒号课堂
3234692, 8.7, 532, 编程珠玑II
1767120, 9.0, 396, 深入理解LINUX内核
1154204, 8.5, 643, 算法艺术与信息学竞赛
1319751, 8.6, 570, C++Primer Plus
5362856, 8.9, 422, 高性能JavaScript
20382244, 8.8, 461, R语言实战
1996256, 9.2, 318, Algorithms
3549421, 8.4, 692, PHP和MySQL Web开发(原书第4版)
26708119, 9.0, 378, 机器学习
1088045, 8.8, 453, Windows核心编程
1102235, 8.4, 682, 机器学习
1219329, 9.2, 312, Unix/Linux编程实践教程
6860890, 8.3, 758, 黑客
1138768, 8.6, 543, 深入Java虚拟机(原书第2版)
20471120, 7.5, 2089, 打造Facebook
1723151, 8.8, 413, Linux设备驱动程序
3948354, 8.2, 776, Python学习手册
24740308, 9.2, 285, 浪潮之巅（下册）
1087767, 9.1, 307, TCP/IP详解 卷2：实现
1193565, 8.6, 485, Word排版艺术
1101524, 8.3, 665, C++编程思想（第1卷）
11614538, 8.7, 435, 程序员的职业素养
4934481, 9.2, 276, Learn You a Haskell for Great Good!
3260311, 8.8, 392, Erlang 程序设计
2327417, 9.2, 270, 大师之路
1036413, 8.9, 349, 密码故事
1141221, 9.1, 292, Microsoft.NET框架程序设计
3354490, 8.4, 567, MySQL必知必会
10546925, 8.2, 705, 白帽子讲Web安全
