2017-01-23 16:17:59
Tag: 诗歌
The number of books: 951 

ID, rating, votes, title
1883245, 9.4, 10247, 诗经
1058661, 8.8, 24330, 飞鸟集
1011754, 8.9, 17168, 海子的诗
1013267, 9.3, 8690, 唐诗三百首
1033825, 8.7, 13512, 顾城的诗
3610681, 9.2, 6177, 海子诗全集
1170801, 8.9, 7915, 泰戈尔诗集
11584574, 8.5, 9848, 万物静默如谜
3544376, 9.1, 3679, 顾城的诗顾城的画
1044446, 8.7, 6176, 在黑暗的河流上
3597825, 8.6, 6852, 我的孤独是一座花园
1045352, 8.7, 5776, 二十首情诗与绝望的歌
1776300, 8.7, 5044, 席慕容诗集
1108762, 9.3, 2279, 诗经
1026036, 8.6, 5481, 北岛诗歌集
2212371, 9.0, 3036, 先知
1351678, 9.0, 2842, 夏宇詩集／Salsa
5333599, 8.2, 8605, 春天责备
1255326, 9.0, 2514, 新月集·飞鸟集
1438816, 9.1, 2229, 给青年诗人的信
1393724, 9.0, 2347, 楚辞
1081144, 9.3, 1436, 古詩源
1417385, 8.9, 2174, 博尔赫斯诗选
1451270, 9.2, 1526, 纪伯伦诗集
1401795, 8.6, 3046, 时间的玫瑰
2982257, 8.9, 2086, 面朝大海 春暖花开
1417878, 8.5, 3167, 里尔克诗选
2073345, 8.7, 2355, 拜伦 雪莱 济慈 抒情诗精选集
3297888, 8.3, 4014, 云雀叫了一整天
1045365, 8.6, 2652, 恶之花
1015104, 9.3, 1162, 陶渊明集
2267630, 8.3, 3593, 凯尔特的薄暮
1146536, 9.5, 842, 唐诗三百首
1351677, 9.0, 1379, 夏宇詩集／腹語術
1219090, 9.2, 1065, 沙与沫
26309691, 8.3, 3025, 月光落在左手上
1083883, 8.7, 1768, 席慕蓉经典作品
1027587, 8.6, 1968, 恶之花 巴黎的忧郁
3197635, 8.9, 1354, 结局或开始
1053493, 8.9, 1345, 苇间风
1921441, 8.9, 1264, 诗经
4243288, 9.0, 1131, 飞鸟集
1985973, 9.1, 1006, 備忘錄
1066663, 8.8, 1320, 兰波作品全集
1426852, 8.7, 1469, 叶芝诗集（上中下）
3843961, 9.4, 698, 唐诗三百首
1056657, 8.8, 1295, 泰戈尔诗选
11516338, 8.7, 1451, 我是你流浪过的一个地方
4919996, 8.7, 1399, 张枣的诗
1949674, 8.1, 2968, 我纷纷的情欲
1162773, 9.0, 933, 地狱一季
1276297, 9.0, 909, 顾城诗全编
1966573, 8.6, 1399, 随风而行
1760094, 8.8, 1111, 吉檀迦利
1825855, 8.8, 1088, 荒原
25744944, 8.5, 1520, 既见君子
2247259, 9.1, 778, 飞鸟集
1732996, 8.9, 911, 顾城
5302695, 8.7, 1130, 七里香
1394250, 8.8, 982, 荒原
3003470, 8.8, 954, 另一个，同一个
3003460, 8.7, 1036, 布宜诺斯艾利斯激情
25913612, 8.1, 2103, 给孩子的诗
1000579, 8.6, 1116, 嚎叫
1479099, 8.9, 799, 七里香
3873355, 7.4, 6173, 仓央嘉措诗传
2032523, 8.5, 1233, 失乐园
1092512, 8.9, 789, 泰戈尔散文诗全集
26275572, 9.1, 636, Ocnos
1428154, 8.8, 853, 费尔南多·佩索阿诗选
1982120, 9.0, 692, 向着明亮那方
4882050, 8.5, 1178, 竹久梦二：画与诗
1441980, 9.0, 678, 特朗斯特罗姆诗全集
1732995, 9.1, 614, 海子
1081778, 9.5, 396, 李太白全集（全三册）
1012560, 9.3, 469, 樂府詩集（全四冊）
4836951, 8.6, 937, 保罗·策兰诗选
1038291, 9.1, 554, 纪伯伦散文诗全集
1255006, 9.0, 607, 爱伦·坡集
2349498, 9.4, 410, 古诗十九首集释
1043613, 8.4, 1118, 工作与时日 神谱
3013532, 8.8, 701, 兰波彩图集
25801080, 8.2, 1396, 我曾这样寂寞生活：辛波斯卡诗选2
1401821, 9.1, 518, 顾城文选·卷一：别有天地
6534894, 8.7, 775, 我会像青草一样呼吸
1874973, 8.8, 693, 海子作品精选
1104698, 8.6, 844, 保罗·策兰诗文选
6975925, 7.6, 3145, 设计诗
1077474, 7.9, 2008, 舒婷的诗
6534893, 8.8, 673, 暴风雨使我安睡
2364762, 8.7, 744, 唐璜（上下册）
1780032, 8.3, 1167, 六世达赖仓央嘉措情歌及秘史
1019009, 8.1, 1483, 徐志摩诗
2048650, 9.1, 485, 先知.沙与沫
1780800, 8.7, 719, 顾城精选集
1039809, 8.1, 1444, 草叶集
26309861, 8.4, 990, 摇摇晃晃的人间
1425544, 9.0, 518, 园丁集
4299250, 8.6, 762, 读诗的艺术
1037951, 8.3, 1074, 食指的诗
1023467, 8.5, 843, 叶甫盖尼·奥涅金
1046680, 8.6, 751, 茨维塔耶娃文集：诗歌
4917220, 9.3, 379, 楚辞
1080350, 9.1, 452, 春秋来信
1353736, 8.7, 667, 摩擦．無以名狀
