2017-01-23 16:17:59
Tag: 诗词
The number of books: 953 

ID, rating, votes, title
1007305, 9.5, 112864, 红楼梦
1019568, 9.2, 52643, 三国演义（全二册）
1883245, 9.4, 10247, 诗经
1059258, 9.4, 9751, 道德经
1203426, 9.0, 14293, 人间词话
1013267, 9.3, 8690, 唐诗三百首
1029553, 8.7, 20406, 西游记（全二册）
1088581, 8.9, 13442, 浮生六记
1008357, 8.5, 21641, 水浒传（全二册）
1014561, 9.0, 9770, 古文观止
2046236, 9.3, 4713, 庄子
1949420, 9.3, 4711, 孙子兵法
1964774, 9.0, 6922, 论语
1073708, 9.0, 5613, 牡丹亭
1021990, 9.2, 3458, 唐诗鉴赏辞典
1040382, 8.9, 4948, 人间词话手稿本全编
1014763, 9.2, 3339, 三国志（全五册）
1098643, 8.7, 5491, 聊斋志异
1108762, 9.3, 2279, 诗经
1774227, 9.6, 1621, 脂砚斋重评石头记庚辰校本
1006967, 9.3, 2244, 宋词三百首
1287865, 9.4, 1921, 老子
1053088, 9.2, 2264, 陶庵梦忆 西湖梦寻
1286547, 8.6, 4663, 菜根谭
1016631, 8.5, 5042, 西厢记
1147193, 9.0, 2596, 世说新语
1856285, 7.3, 41305, 人生若只如初见
1420734, 9.2, 1930, 飲水詞箋校
1132550, 9.4, 1533, 宋词鉴赏辞典
1393724, 9.0, 2347, 楚辞
1021709, 8.6, 3318, 桃花扇
1081144, 9.3, 1436, 古詩源
1185908, 8.5, 3755, 东周列国志（上下）
1456692, 8.5, 3573, 金瓶梅
1003079, 9.5, 1084, 红楼梦
2005705, 9.1, 1649, 唐宋词十七讲
1015104, 9.3, 1162, 陶渊明集
1076598, 8.7, 2105, 宋诗选注
1146536, 9.5, 842, 唐诗三百首
1203523, 9.4, 914, 唐宋词鉴赏辞典(唐五代北宋)
1007196, 8.5, 2525, 闲情偶寄
1823533, 8.7, 1879, 山海经
1002513, 9.2, 1039, 詩經注析（全二冊）
1107841, 9.0, 1257, 战国策
1181370, 9.3, 878, 文心雕龙注(上下)
1204398, 8.8, 1461, 幽梦影
1921597, 8.9, 1288, 大学·中庸
2377241, 9.6, 628, 世說新語箋疏（全三冊）
1921441, 8.9, 1264, 诗经
1008094, 9.3, 829, 春秋左傳注（全四冊）
3994721, 8.0, 3974, 纳兰容若词传
1119590, 8.0, 3905, 老残游记
1009938, 7.8, 5226, 封神演义
3843961, 9.4, 698, 唐诗三百首
1910477, 8.8, 1296, 千秋一寸心
1042053, 8.1, 3125, 儒林外史
1770652, 9.2, 806, 顾随诗词讲记
1854151, 9.2, 782, 金圣叹批评本水浒传
1961670, 9.2, 773, 叶嘉莹说汉魏六朝诗
1033327, 9.4, 632, 唐宋词鉴赏辞典
1524605, 9.4, 630, 宋詞三百首（全二册）
1062971, 8.9, 1038, 纳兰性德词选
1862115, 7.2, 12547, 当时只道是寻常
1877096, 8.1, 2670, 花间十六声
1038492, 8.7, 1242, 追忆
2139684, 9.2, 726, 南唐二主詞校訂
25744944, 8.5, 1520, 既见君子
1022951, 8.4, 1706, 长生殿
1491630, 8.7, 1179, 小窗幽记
3993396, 8.8, 1053, 纳兰词集
6121542, 8.0, 2894, 当你途经我的盛放
1543917, 9.0, 823, 納蘭詞箋注
10354427, 8.2, 2034, 蒋勋说唐诗
1144385, 7.8, 3612, 镜花缘
1644403, 8.1, 2311, 警世通言
1004376, 9.2, 632, 世說新語校箋（全二冊）
1119476, 8.0, 2533, 醒世恒言（上下）
4903692, 9.0, 750, 东京梦华录
10482102, 8.1, 2146, 蒋勋说宋词
10796035, 9.2, 606, 中国古典诗词感发
2034127, 7.3, 7330, 陌上花开缓缓归
1137748, 8.7, 963, 元曲三百首
