2017-01-23 16:17:59
Tag: 赫尔曼·黑塞
The number of books: 135 

ID, rating, votes, title
1770782, 8.8, 249286, 追风筝的人
3211779, 8.9, 119567, 嫌疑人X的献身
10554308, 9.2, 59148, 白夜行
10594787, 8.9, 50373, 霍乱时期的爱情
3608208, 8.6, 45533, 牧羊少年奇幻之旅
3406401, 9.0, 11016, 悉达多
1008988, 8.3, 32024, 了不起的盖茨比
25762009, 9.1, 6230, 教父
1077528, 8.9, 8072, 通往奴役之路
1291204, 9.4, 3887, 哥德尔、艾舍尔、巴赫
25733470, 8.3, 17613, 村上春树：没有色彩的多崎作和他的巡礼之年
3578470, 9.0, 5796, 德米安
2136484, 8.7, 7407, 如果在冬夜，一个旅人
2328458, 9.1, 3948, 社会性动物
5337254, 9.0, 4378, 孽子
3131626, 8.9, 3430, 荒原狼
2165063, 9.2, 2256, 纳尔齐斯与歌尔德蒙
4071842, 8.6, 4448, 路西法效应
1216737, 8.9, 2786, 纯粹理性批判
4138982, 8.9, 2171, Alchemist
3391246, 8.2, 5183, 潮骚
2165076, 9.0, 1751, 玻璃球游戏
1057206, 7.3, 19110, 数字城堡
3578471, 8.8, 1632, 盖特露德
1857022, 8.8, 1529, 大剑 1
1771464, 8.6, 1909, 微物之神
1291760, 6.8, 41974, 会有天使替我爱你
1433192, 9.0, 1010, 普通语言学教程
2142574, 8.7, 1375, 时光中的时光
2165057, 8.7, 1229, 堤契诺之歌
2165084, 8.3, 1869, 在轮下
1788302, 8.5, 1361, 重塑心灵
25757313, 9.8, 354, 红楼梦脂评汇校本
6010144, 8.3, 1499, 动物寓言集
1030294, 8.8, 834, 林中路
3578472, 8.5, 973, 罗斯哈尔德
24257591, 7.3, 4628, 绝望锻炼了我
1037951, 8.3, 1074, 食指的诗
4219120, 8.4, 878, 流浪的星星
2382544, 8.7, 610, 园圃之乐
6519759, 7.5, 2683, 记事本圆梦计划
26262141, 8.3, 896, 毛姆传
10875996, 8.9, 436, 朝圣者之歌
1732250, 9.0, 332, Siddhartha
6813370, 8.2, 722, 雾中回忆
24853135, 9.0, 307, 悉达多
3339862, 8.6, 436, 性别麻烦
7051393, 7.6, 1235, 俗
2978933, 8.7, 332, 彼得·卡门青
1064736, 8.9, 269, 荒原狼
3169416, 8.8, 284, 黑塞画传
20493369, 8.4, 392, 爱伦·坡暗黑故事全集（下册）
20507419, 7.0, 2127, 东野圭吾的最后致意
19967328, 8.5, 313, 漂泊的灵魂
10875994, 8.2, 367, 温泉疗养客
2115287, 8.3, 326, 黑塞诗选
2165045, 8.4, 289, 婚约
1479703, 9.2, 144, 赫尔曼·黑塞小说散文选
22693008, 8.2, 342, 兔子共和国
19967335, 8.9, 173, 生命之歌
1986275, 8.6, 193, 大失败
26307903, 8.9, 141, 悉达多
26376880, 9.2, 100, 纳尔奇思与歌尔得蒙
2057195, 9.1, 105, 荒原狼
4231733, 8.5, 151, 论自由意志
20414863, 8.6, 130, 荒原狼
19967325, 8.5, 140, 读书随感
19967342, 9.1, 89, 玻璃珠游戏
1084889, 8.6, 127, 堤契诺之歌
20375644, 9.0, 84, 芬尼根的守灵夜 - 珍藏本（第一卷）
2037303, 8.8, 96, 摆脱孤独
3021038, 9.3, 65, 流浪者之歌
3197928, 9.1, 73, 荒原狼
1394428, 8.8, 85, 黑塞童话选
19967333, 8.6, 93, 美丽的青春
19967338, 8.0, 147, 孤独者之歌
26302408, 8.7, 81, 荒原狼
1371682, 9.0, 64, Demian
3291035, 9.0, 62, 彷徨少年時
19967341, 7.8, 150, 东方之旅
2302143, 8.7, 66, 在轮下
1014179, 8.9, 57, 黑塞散文选
25712802, 9.5, 40, 流浪者之歌
3168152, 9.2, 47, 鄉愁
19975555, 8.2, 91, 巴黎神话
26302407, 8.5, 72, 轮下
25923249, 7.7, 139, 妻子的沉默
2362671, 8.9, 53, Siddartha
25852927, 8.5, 69, 玻璃球游戏
10538451, 8.0, 96, 战火之外
1918815, 8.3, 75, 黑塞抒情诗选
25803880, 7.7, 111, 黑塞诗选
1370695, 9.0, 43, 悉達求道記
4313193, 9.0, 42, 流浪者之歌
1136149, 8.7, 50, 朝圣者之歌
26583318, 9.3, 35, 流浪者之歌
1960230, 8.1, 73, 德国诗选
26307754, 8.8, 43, 荒原狼
1275397, 8.9, 39, 胡塞尔选集（上下）
1274375, 8.0, 69, 陀思妥耶夫斯基的上帝
26702672, 8.4, 49, 悉达多
1532519, 7.0, 163, 性爱圣经
5951355, 7.2, 124, 黑塞之中国
2990291, 7.6, 83, B2B品牌管理
1388360, 8.6, 35, 徬徨少年時
1348494, 9.0, 27, Siddhartha
25978498, 8.7, 31, 玻璃球游戏
1961537, 8.5, 33, 黑塞小说散文选
2162706, 9.1, 24, 纳尔齐斯与歌尔德蒙 (平装)
2471036, 8.7, 29, Demian
1023258, 8.5, 31, 老房子?江南水乡民居
1474427, 9.3, 19, Steppenwolf
20275733, 6.7, 117, 天使学
1958152, 7.4, 54, 黑塞研究
4012543, 8.9, 18, Siddhartha
1085430, 8.2, 25, 黑塞的智慧
1065033, 8.4, 22, 烦恼的冬天
2378104, 6.5, 93, 黑塞传
2227290, 8.0, 27, 通向禅学之路
26276885, 8.3, 22, 书籍的世界
2350049, 8.1, 21, 牧羊神
24737023, 7.9, 18, 彼得·卡门青
25744088, 8.1, 16, 流浪者之歌
3267946, 8.0, 16, 荒野之狼
10864553, 8.1, 15, 流浪者之歌
26435355, 8.1, 15, 荒原狼
26438557, 6.7, 26, 诗话人生
2377200, 7.6, 14, Siddhartha
3736418, 7.9, 11, Der Steppenwolf
3804822, 8.1, 10, 車輪の下
26358474, 7.5, 12, 童年轶事
25778271, 7.8, 10, 丢失的行李箱
5397487, 7.4, 12, 赫尔曼·黑塞如是说
4845013, 7.1, 13, 黑塞与东西方文化的整合
4124953, 7.3, 11, Siddhartha
