2017-01-23 16:17:59
Tag: 超现实
The number of books: 208 

ID, rating, votes, title
1084336, 9.0, 211701, 小王子
1474773, 9.5, 25263, 海贼王
1786670, 8.9, 46563, 百年孤独
1045818, 8.5, 59222, 苏菲的世界
1948901, 8.4, 57645, 盗墓笔记
1059419, 8.1, 58712, 海边的卡夫卡
2297697, 8.6, 23193, ZOO
1044663, 8.7, 19450, 许三观卖血记
1853785, 8.7, 17065, 天是红河岸
2022979, 8.1, 41254, 喜宝
6789605, 9.0, 8741, 树上的男爵
1440468, 8.9, 9666, 漩涡
1459623, 9.4, 4773, 20世紀少年01
2158189, 8.4, 18868, 海边的卡夫卡
1180108, 9.0, 6985, 恐怖宠物店1
1329941, 8.6, 10851, 東京BABYLON (Vol. 1)
2158161, 8.7, 9062, 世界尽头与冷酷仙境
1066165, 9.3, 4024, 卡尔维诺文集（第三卷）
1020670, 8.2, 19248, 舞！舞！舞！
1581547, 8.6, 9820, 聖闘士星矢 1
1026425, 7.4, 93062, 三重门
1322455, 8.8, 7257, 遥远的救世主
1752755, 8.6, 7989, 第九个寡妇
1049219, 7.4, 71740, 长安乱
4010969, 7.8, 29543, 当我们谈论爱情时我们在谈论什么
1220219, 8.6, 7478, 阴阳师
1212080, 8.4, 10065, 奇鸟行状录
2067269, 9.4, 2559, MONSTER-怪物-01
1763809, 8.7, 6134, 红拂夜奔
3394338, 7.5, 49249, 他的国
1458192, 8.3, 9101, 犬夜叉01
1848256, 8.0, 14139, 东京奇谭集
2297706, 8.2, 9992, 平面狗
1082404, 8.4, 7312, X.1
1703544, 7.5, 35516, 兄弟（下）
10555486, 8.7, 4628, 分成两半的子爵
3009033, 7.8, 18809, 杂的文
6789551, 8.8, 3906, 不存在的骑士
2350079, 9.1, 2616, 婆娑罗
25752955, 9.0, 2843, 来自新世界 （上下）
2130986, 8.2, 7976, 美少女战士（全18卷）
1465007, 8.2, 7462, 生死疲劳
3801097, 7.8, 14276, 夏天·烟火·我的尸体
1077492, 9.0, 2439, 大师和玛格丽特
1427788, 8.1, 8214, 死神01
1009160, 7.3, 34623, 像少年啦飞驰
1193821, 8.0, 8777, 最游记
1767310, 9.0, 2124, 黄金时代 黑铁时代
1275907, 8.3, 5214, 八十天环游地球
