2017-01-23 16:17:59
Tag: 辞典
The number of books: 240 

ID, rating, votes, title
1028409, 9.4, 9013, 中国少年儿童百科全书（全四册）
1021990, 9.2, 3458, 唐诗鉴赏辞典
1047751, 9.3, 1975, 牛津高阶英汉双解词典(第四版)
1132550, 9.4, 1533, 宋词鉴赏辞典
1032967, 9.1, 1368, 说文解字
1203523, 9.4, 914, 唐宋词鉴赏辞典(唐五代北宋)
1033327, 9.4, 632, 唐宋词鉴赏辞典
1234683, 9.6, 348, 日本语句型辞典
1050658, 9.3, 406, 宋诗鉴赏辞典
1090900, 9.3, 358, 拉鲁斯法汉双解词典
1515757, 8.0, 1382, 建筑语汇
1783098, 8.7, 535, 玫瑰之名
1034375, 9.1, 291, 牛津初阶英汉双解词典
1030882, 9.2, 263, 汉魏六朝诗鉴赏辞典
1060470, 9.4, 213, 牛津高阶英汉双解词典
1048943, 9.2, 238, 古代汉语词典
1735255, 8.9, 281, 西方文论关键词
1723055, 8.6, 364, 电影艺术词典
1065772, 9.2, 202, 古文鉴赏辞典（上）
1062363, 9.1, 218, 元曲鉴赏辞典
1046813, 9.1, 208, 先秦诗鉴赏辞典
1546037, 9.3, 157, 唐宋词鉴赏辞典
1027276, 9.3, 145, 朗文当代高级英语辞典
1291310, 9.9, 92, 元照英美法词典
26900703, 9.7, 103, 物种日历
2034051, 9.4, 123, 唐诗鉴赏词典
1120991, 9.5, 113, 布莱克维尔政治学百科全书
1054967, 8.6, 219, 剑桥艺术史(一)
1229301, 9.3, 116, 外研社日汉双解学习词典
1028864, 9.0, 144, 古文鉴赏辞典（下）
1011858, 8.9, 144, 企鹅激光唱片指南
1490545, 9.3, 91, 最新通俗美语词典
2208867, 9.3, 88, 辞海 1979年版缩印本
1199896, 9.6, 67, 朗文当代英语辞典
1665110, 9.5, 71, 广辞苑
1148974, 8.1, 191, 关键概念
1087635, 9.3, 71, 新德汉词典
1331524, 8.7, 104, 唐诗宋词鉴赏辞典
1130234, 9.2, 73, 牛津简明音乐词典
1123947, 9.0, 83, 辞海
1116375, 9.3, 63, 现代语言学词典
4220023, 9.6, 52, 汉英大词典
1081919, 8.7, 87, 元明清诗鉴赏辞典
1098225, 9.1, 65, 葡汉词典
1197923, 9.1, 61, 古希腊语汉语词典
1263305, 8.3, 106, 彩色袖珍动漫百科
1702515, 9.3, 53, 牛津英语习语词典
26835895, 8.7, 77, 猫的私人词典
3563617, 9.5, 46, 阿拉伯语汉语词典
2188276, 9.4, 48, Longman Dictionary of Contemporary English
2988630, 8.9, 62, 古希腊罗马及教父时期名著名言辞典
1874069, 7.9, 132, 关键词200
3826348, 7.9, 130, OED的故事
1337401, 9.2, 48, 辞海(1989年缩印本)
2182153, 9.2, 47, 古代汉语词典
5918043, 9.1, 49, 古代小品文鉴赏辞典
1017066, 9.5, 39, 绘画儿童动物辞典
1060302, 8.1, 97, 精选日汉汉日词典
1228696, 9.0, 50, 牛津英语同义词词典
1502117, 9.2, 44, 日语接续词副词辞典
1511615, 9.2, 44, 元明清词鉴赏辞典
1088742, 9.2, 42, 新明解国语辞典
1444806, 9.6, 34, 英语常见问题解答大词典(增订版第四版)
1767801, 9.1, 43, 牛津格言集
1015950, 9.0, 45, 世界美术名作鉴赏辞典（精装彩图本）
1035401, 9.2, 38, 牛津中阶英汉双解词典
4940926, 9.1, 40, 中国昆曲衣箱
2227774, 9.2, 37, 神话辞典
1078986, 8.5, 53, 外国音乐辞典
4199603, 9.2, 35, 红楼梦大辞典
1037852, 9.3, 33, 英汉多功能词典
2216661, 9.3, 33, 诗经三百篇鉴赏辞典
1057578, 8.8, 43, 中国文化知识精华
1755602, 8.6, 47, 现代主义代表作100种提要 现代小说佳作99种提要
1011145, 9.7, 26, 朗文当代高级英语辞典
1759370, 9.7, 26, The New Grove Dictionary of Music and Musicians
1229642, 9.3, 31, 麦克米伦高阶美语词典
1964199, 9.0, 36, 古文观止鉴赏辞典
1128788, 9.1, 34, 实用古汉语知识宝典
1964422, 9.1, 34, 英语搭配大辞典
1393379, 9.2, 32, 红楼梦鉴赏辞典
2262999, 8.7, 42, 牛津英美文化词典
1638272, 9.3, 30, 日本古典文学大辞典
1039929, 9.0, 35, 新帕尔格雷夫经济学大辞典(1-4卷)
1109886, 9.1, 33, 袖珍唐宋词鉴赏辞典
26655770, 7.8, 77, 各种“主义”
1022689, 9.2, 31, 朗文当代英语辞典
1913281, 8.8, 38, 拉丁成语辞典
1076190, 8.2, 55, 世界文化象征辞典
1072902, 8.4, 48, 英语脏词禁忌语词典
1029429, 7.8, 68, 新诗鉴赏辞典
1119105, 9.2, 28, 日语汉字读音速查词典
1162745, 9.4, 25, 古代小说鉴赏辞典（上册）
1027863, 9.2, 27, 敦煌学大辞典
1489714, 8.8, 33, 古希腊罗马神话鉴赏辞典
1516836, 9.1, 28, 日汉大辞典
1040485, 9.0, 29, 北京土语辞典
1052718, 9.0, 29, 中国成语大辞典
1768751, 7.1, 116, 中国爱情潜规则
1126271, 7.7, 67, 世界电影鉴赏辞典
1327013, 9.1, 27, 牛津文学术语词典
1792472, 7.4, 84, 魔鬼辞典
