2017-01-23 16:17:59
Tag: 近代史
The number of books: 836 

ID, rating, votes, title
1675478, 9.0, 5897, 天朝的崩溃
2376486, 8.8, 4751, 中国近代史
1000280, 8.5, 5914, 袁氏当国
1060025, 8.8, 3756, 中国近代史
1076685, 8.8, 3283, 李鸿章传
10436418, 8.9, 1960, 战争与革命中的西南联大
5299857, 9.0, 973, 国家记忆
25938605, 8.7, 1348, 天国之秋
20433554, 9.2, 760, 关山夺路
1491537, 8.9, 977, 近代中国社会的新陈代谢
1039126, 8.8, 1080, 剑桥中国晚清史（上下卷）
1450065, 8.4, 1547, 李宗仁回忆录（上下）
4160794, 8.4, 1523, 多余的话
1253538, 8.6, 1147, 剑桥中华民国史（上卷）
25750468, 8.6, 1101, 中国现代国家的起源
1439260, 8.8, 844, 历史三调
2713409, 8.8, 822, 国民党的“联共”与“反共”
4827310, 8.7, 885, “中间地带”的革命
1139065, 9.0, 630, 党员、党权与党争
5416832, 7.6, 3636, 辛亥：摇晃的中国
1010512, 8.6, 849, 1901年
3055477, 8.4, 988, 西潮
1009529, 8.6, 785, 毛泽东、斯大林与朝鲜战争
3432401, 8.1, 1416, 苦难辉煌
3662567, 9.2, 430, 近代中国史纲
25752592, 8.9, 541, 从黎明到衰落（上下）
1477774, 8.8, 554, 剑桥中华民国史（下卷）
1005047, 8.6, 673, 剑桥中华人民共和国史（上卷）
5447147, 7.6, 2332, 货币战争3
1280568, 8.7, 585, 毛泽东与莫斯科的恩恩怨怨
24316409, 8.2, 1016, 忍不住的“关怀”（增订版）
3923369, 8.8, 496, 中华人民共和国建国史研究1
1801407, 8.2, 949, 苦命天子
4248275, 8.6, 597, 革命与反革命
10440415, 8.9, 414, 傅斯年：中国近代历史与政治中的个体生命
1027725, 8.2, 834, 战天京
1289247, 8.6, 513, 戊戌变法史事考
21363236, 8.8, 411, 寻找?苏慧廉
10443525, 8.6, 488, 清日战争
1274491, 8.3, 670, 文化、权力与国家
3397128, 8.7, 429, 1948：天地玄黄
1063540, 8.3, 635, 中华帝国晚期的叛乱及其敌人
5242198, 8.4, 534, 正面抗日战场
6895949, 9.0, 298, 联合政府与一党训政
1001057, 8.3, 587, 龙旗飘扬的舰队
2082163, 8.2, 655, 开卷有疑
5385877, 9.0, 293, 中国近代思想与学术的系谱
4745305, 7.5, 1607, 北洋裂变
25731990, 8.3, 578, 我是落花生的女儿
3923370, 8.6, 396, 中华人民共和国建国史研究-2
1447912, 8.8, 314, 五四运动
6860955, 7.7, 1047, 太平天国
1044347, 9.0, 259, 走向共和（上中下）
3518433, 8.1, 611, 毁灭的种子
2005521, 8.7, 324, 中苏关系史纲
3628934, 8.8, 292, 晚清七十年 【伍】
25498796, 8.4, 424, 梦醒子
3650176, 8.5, 380, 重返五四现场
10580315, 7.8, 796, 1912—1928：文武北洋?枭雄篇
1437607, 8.8, 268, 中国近百年政治史
1023084, 8.2, 474, 大门口的陌生人
26022213, 8.3, 422, 历史深处的民国 壹 晚清
1072260, 8.3, 404, 义和团运动的起源
11519297, 7.7, 776, 台湾往事
3665980, 9.0, 205, 从甲午到戊戌
6013381, 8.4, 347, 舍我其谁：胡适（第一部）
6984992, 8.7, 254, 张力与限界
2060764, 7.9, 560, 封面中国
5399417, 8.7, 247, 正面抗日战场
6895934, 8.3, 358, 读史求实
24829939, 7.8, 611, 民国纪事本末（1911-1949）
4139460, 8.4, 310, 国民党高层的派系政治
1315804, 8.4, 309, 上海罢工
10877038, 9.0, 182, 光焰不熄
25928984, 8.1, 420, 叶
1575685, 9.0, 173, 顾维钧回忆录(第一分册)
6827961, 8.6, 236, 1911
10560813, 7.7, 597, 触电的帝国
25790421, 8.2, 339, 红雨
1821224, 8.6, 227, 地域文化与国家认同
23116732, 8.3, 300, 国会现场
1071153, 8.4, 272, 寻求富强
1431966, 7.3, 930, 历史的坏脾气
26290480, 8.4, 260, 历史深处的民国 贰 共和
1171967, 8.8, 181, 袁世凯评传（上下）
1851488, 8.6, 214, 毛泽东的中国及后毛泽东的中国
5328239, 8.3, 278, 唉，我的沧桑50年（1959至今）
4738654, 9.2, 128, 红太阳
2976504, 7.6, 581, 李鸿章与晚清四十年
1937123, 8.5, 222, 西安事变新探
25708362, 8.6, 201, 史家高华
1951495, 8.0, 357, 帝国的回忆
1776851, 8.8, 168, 中国共产党成立史
6954443, 8.4, 232, 告别皇帝的中国
3104574, 8.2, 272, 义理与事功之间的徊徨
4898541, 8.5, 205, 近代中国的史家与史学
5988148, 8.1, 299, 山雨欲来
11577064, 7.6, 514, 民国了
4882056, 7.9, 344, 为什么是欧洲？
11232882, 8.8, 148, 革命
6429778, 9.0, 125, 三民主义
25891574, 9.2, 108, 甲午海战
6397072, 8.2, 244, 施剑翘复仇案
2171187, 8.2, 242, 华北的叛乱者与革命者（1845—1945）
1450542, 8.3, 219, 齐如山回忆录
25789370, 8.8, 139, 权势转移
10786646, 7.2, 738, 这个历史挺靠谱2
1286969, 8.5, 174, 乱世潜流
4290353, 8.5, 173, 沉没的甲午
3770531, 8.9, 124, 北洋海军舰船志
3017954, 8.4, 185, 晚清的士人与世相
1431142, 8.3, 198, 触摸历史与进入五四
3172360, 8.8, 127, 花随人圣庵摭忆（上中下）
1980588, 8.2, 206, 文人的底气
1046117, 7.8, 305, 同治中兴
2173400, 8.9, 114, 秦风老照片馆
3191676, 7.7, 340, 军绅政权
5914500, 8.3, 185, 近代的尺度
10538457, 9.0, 105, 暗流
6975218, 8.1, 221, 臺灣不教的中國近代史
3442805, 8.3, 179, 革命逸史（全三册）
1081454, 8.1, 214, 近代中国史学十论
5288681, 8.7, 126, 被&#34;废除不平等条约&#34;遮蔽的北洋修约史
3358492, 8.7, 125, 李鸿章与北洋舰队
4320843, 8.1, 209, 中国的军阀政治
26415843, 8.7, 124, 亚洲的叛逆
3272749, 9.0, 99, 马关议和中之伊李问答
26392829, 7.8, 279, 秩序的沦陷
10426968, 9.3, 80, 中国近代史
23744088, 7.3, 483, 北洋大时代
1160760, 8.2, 182, 庚子勤王与晚清政局
1038312, 8.3, 166, 北洋军阀史话
25881835, 8.3, 165, 抗日战争的细节2
24838223, 7.8, 265, 皇上走了
1290059, 8.8, 108, 义和团战争的起源
6749875, 8.4, 148, 远乡
1016395, 8.1, 192, 帝国落日
1170591, 8.9, 99, 胡适全集（共44卷）
1009147, 8.5, 133, 血路
1420120, 8.3, 157, 流产的革命
20365139, 8.0, 203, 父亲那场永不止息的战争
6518999, 8.2, 167, 辛亥·计划外革命
26574388, 7.8, 244, 湖南人与现代中国
1085273, 7.7, 267, 怀柔远人
1968349, 8.7, 108, 中国现代化史
1074659, 8.3, 149, 甲午战争前后之晚清政局
26838035, 7.8, 238, “鬼子”来了
25828767, 7.4, 368, 末代王朝与近代中国：清末 中华民国
25834602, 8.4, 135, 戊戌变法的另面
25788989, 8.1, 174, 遗失在西方的中国史（三册）
5038827, 7.5, 322, 重读近代史
1660719, 8.0, 188, 走向世界的挫折
26387863, 8.3, 142, 八道湾十一号
10834107, 8.4, 130, 章太炎的思想
26617662, 8.4, 128, 历史深处的民国 叁 重生
3611838, 9.3, 67, 梁启超年谱长编
2373257, 8.3, 137, 英国的课业
25904820, 7.8, 216, 中国的内战
2297156, 8.1, 161, 改良与革命
2271500, 8.6, 106, 真相
3289279, 7.9, 193, 中国近百年史话
3077812, 8.5, 114, 中国之惑
3413803, 8.4, 123, 钏影楼回忆录
10605332, 8.1, 159, 天下得失
5348097, 7.4, 325, 这个天国不太平
1626946, 7.8, 209, 唤醒中国
3528045, 8.8, 87, 富国的伪善
5346140, 8.7, 93, 民国的政治逻辑
5325649, 8.8, 86, 一站一坐一生
23049134, 8.5, 107, 躁動的帝國
1010640, 7.9, 179, 在传统与现代性之间
2184349, 9.1, 69, 日本开国五十年史（上下）
10454489, 8.0, 159, 民国乃敌国也
6526783, 7.8, 192, 蒋介石的人际网络
2074652, 7.5, 263, 历史的裂缝
3544593, 7.7, 212, 民国人物过眼录
1454770, 8.6, 96, 莫理循眼里的近代中国（全三册）
3041817, 8.1, 144, 晚清民国的学人与学术
3666616, 7.3, 329, 原来如此
10509933, 7.0, 482, 去趟民国
