2017-01-23 16:17:59
Tag: 通俗
The number of books: 501 

ID, rating, votes, title
1068920, 9.3, 73349, 飘（上下）
1061118, 9.1, 73779, 活着
1040211, 9.2, 46917, 福尔摩斯探案全集（上中下）
1255625, 9.1, 53461, 天龙八部
1071241, 8.9, 70200, 哈利·波特与阿兹卡班的囚徒
1221515, 9.5, 26483, 灌篮高手31
1873231, 8.8, 77651, 明朝那些事儿（壹）
1085860, 8.9, 48473, 基督山伯爵
1002299, 8.9, 47844, 笑傲江湖（全四册）
3674537, 9.1, 30914, 明朝那些事儿（1-9）
1336330, 9.3, 21616, 冰与火之歌（卷一）
1949338, 8.9, 39249, 明朝那些事儿（贰）
1255624, 8.8, 43498, 神雕侠侣
5414391, 9.0, 28891, 寻路中国
2052448, 8.9, 32681, 明朝那些事儿（叁）
1044547, 8.9, 31247, 射雕英雄传（全四册）
1045818, 8.5, 59223, 苏菲的世界
1066462, 8.4, 69225, 向左走·向右走
3626924, 9.0, 22772, 明朝那些事儿（柒）：大结局
2253642, 8.8, 30183, 明朝那些事儿（肆）
1948901, 8.4, 57645, 盗墓笔记
3009821, 8.8, 27476, 明朝那些事儿（伍）
1003000, 8.4, 54134, 悟空传
3274113, 8.9, 22742, 明朝那些事儿（陆）
1212893, 8.8, 26612, 鹿鼎记（全五册）
1059258, 9.4, 9751, 道德经
1467022, 9.2, 12488, 上帝掷骰子吗
1400705, 8.1, 79130, 情人
1064275, 8.3, 50360, 老人与海
1034282, 8.8, 19418, 时间简史
1092335, 8.9, 16054, 教父
1321017, 8.8, 18652, 九州·缥缈录
1258490, 9.2, 10262, 基地
3239549, 9.1, 11412, 夹边沟记事
1020459, 8.4, 34393, 此间的少年
1029553, 8.7, 20406, 西游记（全二册）
1346815, 8.4, 33796, 一個人住第5年
1056733, 8.3, 38739, 地下铁
1292416, 8.5, 26422, 香水
1858410, 9.0, 11965, 万历十五年
1018577, 8.9, 13769, 霸王别姬 青蛇
26698660, 9.0, 11436, 巨人的陨落
1070851, 8.5, 23579, 倚天屠龙记(共四册)
1056315, 8.8, 14165, 总统是靠不住的
1394364, 8.8, 13719, 银河系漫游指南
1008357, 8.5, 21641, 水浒传（全二册）
1391191, 8.5, 21468, 京华烟云
1225977, 8.9, 11216, 全球通史（第7版 上册）
2567919, 8.3, 26262, 匆匆那年（上下）
2218216, 9.5, 4440, 金庸作品集
1882933, 8.1, 36150, 鬼吹灯之精绝古城
1061977, 8.7, 11662, 血色浪漫
1316648, 8.3, 21749, 查令十字街84号
5366248, 8.3, 21669, 你一定爱读的极简欧洲史
1789841, 8.7, 11355, 倚天屠龙记
1032501, 8.7, 11285, 心理学与生活
1958227, 8.2, 25342, 那些年，我们一起追的女孩
1030052, 7.9, 44453, 清醒纪
1228110, 8.2, 24813, 天使与魔鬼
1077528, 8.9, 8072, 通往奴役之路
1422833, 8.7, 10692, 多情剑客无情剑(上、中、下)
1213546, 8.3, 20093, 变形记
1559310, 9.0, 6815, 鹿鼎记
1089512, 8.6, 11815, 陆小凤传奇
1102715, 9.1, 5775, 从一到无穷大
1065970, 7.8, 47966, 彼岸花
1033778, 8.2, 21431, 富爸爸，穷爸爸
10763902, 7.9, 36930, 偷影子的人
1015699, 8.3, 17370, 中国大历史
1418999, 9.2, 4609, 银河英雄传说
3268399, 8.5, 12079, 上海堡垒
1089521, 8.5, 10833, 楚留香传奇
1316622, 8.4, 12265, 诛仙1
1917078, 8.6, 8835, 风之影
1187842, 9.0, 4981, 你一生的故事
10750155, 8.7, 7442, 数学之美
3323633, 8.6, 8587, 写给大家看的设计书（第3版）
1051797, 8.4, 11556, 喜宝
1089517, 8.4, 11513, 绝代双骄（全三册）
1225983, 8.8, 6160, 万物简史
1261153, 8.4, 10778, 青蛇
1061367, 8.4, 10763, 幸运儿
1018153, 7.8, 30427, 水仙已乘鲤鱼去
1058234, 7.7, 35287, 二三事
1220219, 8.6, 7478, 阴阳师
1214416, 9.3, 2933, 福尔摩斯探案全集
1312997, 9.0, 4092, 香初上舞·终上
1926700, 7.7, 32212, 关于莉莉周的一切
