2017-01-23 16:17:59
Tag: 通俗读物
The number of books: 355 

ID, rating, votes, title
1082154, 9.1, 120308, 活着
1061118, 9.1, 73779, 活着
1873231, 8.8, 77651, 明朝那些事儿（壹）
3674537, 9.1, 30914, 明朝那些事儿（1-9）
1336330, 9.3, 21616, 冰与火之歌（卷一）
1949338, 8.9, 39249, 明朝那些事儿（贰）
1082387, 9.2, 24012, 一九八四·动物农场
2052448, 8.9, 32681, 明朝那些事儿（叁）
1027191, 9.0, 26867, 历史深处的忧虑
1045818, 8.5, 59223, 苏菲的世界
4242172, 8.3, 84702, 天才在左 疯子在右
1080370, 8.6, 45113, 情书
3626924, 9.0, 22772, 明朝那些事儿（柒）：大结局
2253642, 8.8, 30183, 明朝那些事儿（肆）
1948901, 8.4, 57646, 盗墓笔记
20440644, 9.2, 15346, 文学回忆录（全2册）
3009821, 8.8, 27476, 明朝那些事儿（伍）
3274113, 8.9, 22742, 明朝那些事儿（陆）
1212893, 8.8, 26612, 鹿鼎记（全五册）
1058661, 8.8, 24330, 飞鸟集
1467022, 9.2, 12488, 上帝掷骰子吗
1775691, 8.3, 51962, 少有人走的路
1209899, 9.0, 15761, 我与地坛
1034282, 8.8, 19418, 时间简史
1529893, 8.0, 76612, 莲花
1018577, 8.9, 13769, 霸王别姬 青蛇
3609132, 8.5, 23222, 把时间当作朋友
1424741, 8.5, 22344, 心是孤独的猎手
2057285, 8.2, 31902, 盗墓笔记2
1061977, 8.7, 11662, 血色浪漫
5366248, 8.3, 21670, 你一定爱读的极简欧洲史
1440089, 8.3, 21171, 那些生命中温暖而美好的事情
1033778, 8.2, 21431, 富爸爸，穷爸爸
1794620, 7.8, 43152, 芒果街上的小屋
1465324, 7.7, 51349, 洛丽塔
1063190, 8.0, 27056, 蔷薇岛屿
1322455, 8.8, 7257, 遥远的救世主
4953695, 8.0, 24725, 拆掉思维里的墙
1058234, 7.7, 35287, 二三事
1455812, 9.2, 3359, Pride and Prejudice
1064682, 8.8, 5525, 稻草人手记
1227838, 7.6, 38625, 年华是无效信
5920385, 8.2, 11875, 肠子
1012561, 8.6, 6298, 上下五千年
3223711, 8.1, 12500, 怪诞行为学
1064841, 9.0, 3364, 绿山墙的安妮
1072438, 8.3, 8722, 大败局
2348372, 8.3, 8495, 野蛮生长
1458164, 8.3, 7892, 她是女子，我也是女子
1437858, 8.7, 4256, 天行健（全4册）
6712255, 8.8, 3522, 天真的人类学家
1262986, 8.1, 9318, 我不是教你诈
1504957, 8.6, 4390, 学会提问
1201821, 8.0, 10521, 梦的解析
1255326, 9.0, 2514, 新月集·飞鸟集
1063245, 7.6, 20614, 通稿2003
2081876, 7.3, 38111, 货币战争
5317075, 7.2, 46335, 蔡康永的说话之道
1829836, 7.8, 12984, 品三国（上）
1440345, 7.8, 12651, 燕尾蝶
1077778, 8.1, 7383, 爱的教育
1470159, 8.4, 4549, 流金岁月
1456183, 8.2, 5958, 我的帝王生涯
1316606, 8.6, 3165, 無愛紀
3266968, 7.3, 26365, 秘密
3000997, 7.6, 13756, 牛奶可乐经济学
10472702, 8.1, 5648, 重说中国近代史
3901238, 7.6, 13128, 历史是个什么玩意儿1
1089515, 7.9, 7691, 武林外史（上下）
1491239, 8.5, 3077, 吾国与吾民
1668021, 8.1, 5460, 寻秦记
1021056, 7.2, 27764, 谁动了我的奶酪？
1853323, 7.9, 7202, 圈子圈套2
2042907, 7.8, 8447, 品三国（下）
1874488, 8.1, 4805, 别做正常的傻瓜
1223845, 7.6, 10905, 男人来自火星 女人来自金星
1490045, 9.1, 1290, 小王子
1064532, 8.5, 2605, 秘密花园（2册）
2080764, 8.3, 3368, 为何家会伤人
20429677, 7.5, 12047, 大数据时代
1440885, 8.0, 5026, 人体使用手册
1480747, 8.6, 2161, 人間失格
10733032, 8.3, 2980, 王二的经济学故事
20389202, 7.9, 5070, 唐朝穿越指南
1473250, 7.6, 8266, 魔鬼经济学
20507212, 8.0, 4025, 习惯的力量
1426214, 8.1, 3227, 少林寺第八铜人
3025921, 7.7, 5929, 黑天鹅
1063736, 8.4, 2018, 人类的故事
1731825, 7.5, 7927, 读大学，究竟读什么
1291817, 8.6, 1407, 细胞生命的礼赞
1438147, 9.0, 872, 让数字说话
20270670, 8.2, 2250, 为何爱会伤人
3786755, 7.2, 10774, 每天懂一点色彩心理学
1082172, 7.6, 4978, 蝴蝶过期居留
1648606, 8.7, 1093, 宽容
1707050, 9.1, 690, 狭义与广义相对论浅说
1316607, 8.5, 1302, 媚行者
1077497, 7.3, 7087, 水煮三国
3787085, 8.5, 1202, 三国史话
1220904, 8.9, 755, 春醪集
1187832, 8.6, 1017, 曾国藩（上中下）
20473412, 8.0, 1931, 品牌洗脑
4149893, 7.0, 10194, 每天懂一点好玩心理学
2133074, 7.0, 10038, 20几岁，决定女人的一生
2341848, 7.9, 2137, 身体语言密码
1931318, 7.0, 9735, 于丹《论语》心得
5992743, 7.9, 2046, 看懂世界格局的第一本书
6120621, 8.9, 600, 凉宫春日的惊愕（后）
1080152, 8.1, 1472, 樱桃青衣
1626392, 8.5, 841, 女士品茶
1035614, 7.5, 3197, 下楼谈恋爱
1264253, 9.1, 450, 少女安妮
1418173, 7.2, 4718, 刘心武揭秘红楼梦（第一部）
1291593, 7.8, 1723, 跨一步就成功
1083475, 8.6, 645, 三剑客
1734833, 8.2, 964, 余华精选集
6120620, 8.8, 500, 凉宫春日的惊愕（前）
1271579, 7.6, 2124, 礼物
1058112, 8.7, 535, 宽容
1316611, 8.5, 658, 沉默。暗啞。微小。
10566257, 8.0, 1173, 出国自助游教室
10491608, 8.6, 579, 神祇、陵墓与学者
1212892, 7.8, 1460, 雪山飞狐
1019308, 8.1, 985, 圣经的故事
1036958, 7.8, 1409, 把天空还给你
1512937, 7.7, 1606, 四大名捕会京师(上下)
2173025, 7.5, 2055, 放下。爱
6125965, 8.2, 777, 李逵日记
1032621, 7.9, 1101, 世界上最伟大的推销员
1212909, 8.0, 966, 飞狐外传（全二册）
1519058, 7.8, 1251, 母亲
10736800, 6.7, 7794, 重口味心理学
1069138, 8.4, 572, 中国古代房内考
1258406, 8.8, 377, 细说汉字
1829139, 7.2, 2828, “色”眼识人
1079808, 8.8, 367, 易经杂说
1196690, 7.8, 1028, 关河
1440358, 7.1, 2882, 刘心武揭秘红楼梦（第二部）
1212025, 7.7, 1143, 爵士乐群英谱
1471278, 8.5, 419, 昆虫记
1292310, 7.5, 1363, 说岳全传
1322444, 8.9, 280, 鲁迅散文
6065757, 7.2, 2013, FBI心理分析术
1318798, 8.9, 253, 物理定律的本性
1061239, 7.1, 2079, 正说清朝十二帝
1077701, 8.5, 334, 拿破仑·希尔成功学全书（上下）
1424858, 7.4, 1168, 风烟引
1475469, 8.4, 337, 绝不是靠运气
1077411, 7.3, 1276, 尼古拉的遗嘱
6109435, 8.1, 458, 《读书》十年
1230328, 9.0, 182, 数学（第一卷）
1043579, 6.6, 3803, 美容大王
2989594, 8.4, 303, 斩龙 I
1082730, 8.6, 241, 圣经的故事(全彩珍藏本)
1483186, 8.2, 337, 走下圣坛的周恩来
1319820, 7.1, 1352, 大脑使用说明书
1467299, 7.6, 659, 破碎之花
1288476, 7.6, 656, 十七月葬
3719511, 8.2, 318, 政治学的邀请
26282953, 8.5, 226, 大国推手
1472854, 8.5, 216, 山坳上的中国
1485694, 7.7, 490, 雅致生活
1077181, 7.6, 531, 富爸爸商学院
1288955, 7.8, 399, 一个人
1418961, 7.4, 625, 小S牙套日記
4090380, 7.0, 1098, 谜踪之国 II
1438462, 8.8, 142, 逃避主义
1666367, 7.5, 472, 杀楚
1428145, 8.0, 261, 黑蜘蛛島
1312716, 9.0, 108, 话说中国(全15册?含索引、DVD)
1288912, 7.6, 389, 阅读的风貌
1492247, 8.5, 157, 蒙古秘史
6121356, 7.2, 624, 琥珀森林
1076124, 8.2, 196, 古埃及探秘
1281159, 8.6, 136, 世界之最
1443120, 6.8, 1056, 拿着剪刀奔跑
1429193, 8.3, 159, 书法的形态与阐释
1082862, 7.7, 284, 西片碟中碟
1288945, 7.5, 351, 音乐事情
1261296, 7.4, 372, 三侠五义
6047973, 7.1, 547, 西风多少恨 吹不散眉弯
1472840, 8.1, 168, 谁是罗兰·巴特
10827010, 8.0, 183, 别笑!这才是中国法律史
1035801, 6.4, 1477, 把信送给加西亚
3549894, 9.0, 79, 鹅妈妈童谣
1435718, 8.4, 122, 亨利·福特自传
6038363, 7.8, 210, 爵士乐群英谱 2
1433698, 7.3, 355, 得不到，已失去
1008227, 9.2, 67, 数学家的眼光
1470087, 7.5, 266, 女孩闲念
1288935, 7.8, 186, 词典的两个世界
1692196, 7.3, 320, 历史上的和珅
4151063, 8.8, 81, 寻找太阳系的疆界
1201627, 7.2, 342, 解读面孔
7060413, 6.4, 1126, 看懂财经新闻的第一本书
1321912, 6.7, 650, 东亚三国的近现代史
1868788, 7.7, 187, 谈情说菜
1459138, 6.5, 877, 在小吃店遇见凯恩斯
1523858, 9.4, 50, 中国史纲
1704001, 6.9, 453, 奥尔特校园手记
4920489, 8.6, 82, 爵士乐
1076989, 7.7, 174, 我是迭戈
1322452, 7.5, 208, 声声叹
5983903, 6.6, 645, 一个人的老后
1010714, 7.5, 198, 细说元朝
1274790, 8.6, 76, 唐诗三百首详析
1709261, 7.9, 132, 庄子浅说
1882004, 7.7, 159, 中国上下五千年
1473169, 7.5, 189, 物类最新消息
6879500, 8.8, 64, 明朝那些事儿.第6部
26656350, 8.2, 93, 增长的本质
7015097, 9.3, 44, 太阳的故事
1445709, 8.0, 106, 上帝的方程式
1227049, 7.4, 187, 达利画传
5352814, 7.0, 284, 男人来自火星，女人来自金星3
6009680, 7.5, 148, 拿下
5423049, 8.4, 67, 如何学习研究世界史
1449140, 8.3, 71, SAS个人安全手册
1608878, 8.5, 61, Without Feathers
1225642, 7.0, 230, 寓言中的经济学
1032870, 8.4, 62, 集中精力做重要的事
4068131, 7.5, 125, 考古不是挖宝
1254488, 8.0, 80, 人性的弱点
1313070, 7.7, 103, 101个哲学问题
1042352, 8.6, 51, 性格词典
24542441, 7.6, 110, 中国合伙人
1578779, 7.1, 178, 天才、狂人的梅毒之谜
5954623, 9.2, 35, The Hidden Reality
1476968, 7.5, 114, 写给企业家的经济学
1315560, 7.3, 124, 意志力训练手册
26655770, 7.8, 77, 各种“主义”
1490631, 7.0, 166, 美国人眼中的朝鲜战争
3081768, 6.8, 200, 日本
3235111, 7.7, 79, 我心所属
1985839, 7.7, 78, 相对美女私房菜之结婚一年间
4256631, 6.5, 272, 中国人的思维批判
3265234, 8.0, 58, 大崩溃
1220792, 6.7, 202, 亚瑟王传奇
4231532, 7.8, 66, 哲学的陌生感
4925147, 7.9, 61, 汇率战争
5398539, 7.6, 73, 民国原来是这样
4169309, 8.3, 43, 期望少一点 爱多一点
1271586, 7.2, 103, 毕加索画传
6429011, 8.3, 42, 一本书学会佛教常识
1256180, 7.5, 69, 小故事大智慧
1087779, 7.6, 62, 面孔
2179137, 6.8, 130, 职业经理人手记
1429830, 6.9, 114, 曹卫东讲哈贝马斯
5988772, 5.4, 1199, 刘心武续红楼梦
2041657, 7.5, 60, 视读哲学
5356192, 6.6, 146, 男人来自火星，女人来自金星4
2159327, 7.2, 74, 罗马公司
10537134, 8.1, 37, 造反者
1511945, 6.5, 151, 破阵
6041322, 7.7, 46, 揭秘取经门
5272983, 7.2, 66, 幸福没有密码
3004558, 7.7, 43, 民国通俗演义（全四册）
1489083, 7.3, 58, 我们的六十年代
26348974, 6.5, 130, 做优雅的巴黎女人
26307531, 5.9, 306, 男人真相
2115396, 7.3, 56, 政治学的故事
5261672, 7.8, 38, 音乐之神
4259296, 6.6, 109, 逆淘汰
1948962, 6.5, 115, 世界上最糟的
1312926, 6.5, 112, 结果第一
2984432, 8.8, 20, 书法精论
1266257, 7.7, 37, 自然规律中蕴蓄的统一性
26655782, 7.4, 46, 迪奥的时尚笔记
1039280, 7.8, 34, 文科物理十五讲
1436374, 6.6, 92, 像经济学家一样思考
1084007, 7.6, 37, 莎士比亚戏剧故事集
11613936, 8.1, 24, 鱼价引爆经济学
1288865, 6.1, 138, 洞察心理高手（上、下册）
2180961, 6.7, 68, 书窗梦笔
7046782, 7.3, 40, NO!我不是大清正史
2117472, 7.8, 28, 三国大外交
5367409, 6.2, 115, 负债让你更有钱
1035116, 6.9, 53, 听大师讲哲学
3242252, 7.2, 41, 下一个出局者
1427074, 7.8, 26, 哲學
1955114, 7.7, 27, 法学的故事
7161273, 7.4, 33, 情报日本
4264849, 7.0, 44, 寻找法律的印迹
3124962, 7.1, 39, 脆弱的繁华
6776637, 6.7, 55, 名将之死（白卷）
26274456, 6.9, 45, 老梁数英雄
11445549, 6.6, 59, 沟通力
4100372, 6.5, 64, 引爆趋势
6776635, 6.7, 45, 名将之死（红卷）
1050913, 6.0, 95, 人类行为的202个秘密
26794093, 7.9, 19, 大汉王朝的三张脸谱
10731967, 6.5, 51, 中国通胀世界通缩
26274414, 6.2, 70, 老梁论成败
1258201, 7.0, 32, 皖南古村落
1636659, 7.1, 29, 两汉人物
7000808, 5.9, 91, 看懂世界经济的第一本书
1068640, 7.7, 19, 初次见面的心理战术
5405843, 7.5, 21, 原来这是经济学
1480366, 7.3, 23, 顾城弃城
1451058, 7.6, 19, 世界上下五千年(共2卷)
1187586, 8.0, 15, 人性的误区全集
1033723, 7.2, 23, 血型魔方
26639584, 7.2, 23, 从零开始读懂经济学
1807870, 6.7, 33, 气质与人生
1688814, 7.4, 19, 贵州黔东南
1225866, 7.1, 23, 安格尔画传
4033022, 6.8, 27, 给历史把脉之大案人心
1438210, 8.2, 12, The Story of Mr. Sommer
1474822, 7.6, 16, The Dreamers
5250560, 6.0, 56, 为什么剩女不结婚
1794866, 6.8, 26, 你身边的心理学
1487780, 7.5, 16, 岩石与矿物
1012563, 7.1, 20, 大家的经济学
1323379, 7.0, 21, 情僧
22994595, 6.1, 44, 经济学原来这么有趣
3274541, 6.5, 30, 书籍的历史
1311954, 7.4, 16, 中国格调
5349011, 7.2, 18, 魏晋原来是这样
1489674, 6.1, 43, 一眼看出他的心
3612582, 5.9, 53, 视读存在主义
1725331, 6.8, 23, 洞悉性格的深邃内涵
5405100, 6.8, 23, 男人不狠地位不稳
1065404, 7.1, 18, 趣味考古
5359849, 5.9, 49, 36.5℃行为经济学
1978984, 6.5, 27, 自从有了哲学
1215900, 7.6, 13, 地球科学 天气与气候
1527022, 6.8, 20, 蒋介石宋美龄在台湾的日子
5332528, 7.1, 16, 唐诗宋词中的风雅与时尚
25972810, 6.2, 29, Fire Bible 2014（有范儿2014）
1082382, 7.1, 15, 你是什么动物
6815800, 7.9, 10, 大时代的小人物
6850276, 7.9, 10, 我只是坚持做对的事
1399470, 6.5, 22, 意象师科学解梦
5920929, 7.6, 11, 重归心灵家园
1326634, 6.5, 21, 粟裕大将
4813062, 6.1, 29, 山西煤老板
1248727, 6.6, 19, 大鱼吃小鱼
10740539, 7.3, 12, 文明的曙光
1052719, 7.4, 11, 阅读大师的智慧
1287573, 6.9, 14, 凝固的华章
1104784, 6.9, 13, 鼓舞人心的剪贴本
3815167, 6.2, 20, 道教十讲
4033023, 6.4, 16, 给历史把脉之疑难杂案
1278989, 7.0, 11, 人一生要解决的50个关键问题
5920815, 7.0, 10, 二战之谜
1075948, 6.8, 11, 疯狂口才
19987303, 6.5, 13, 中国共产党如何治理国家？
4118804, 5.2, 44, 中国凭什么不高兴
1331685, 6.6, 12, 性偵探大師-佛洛伊德的愛慾推理
1605765, 6.5, 12, 吃食品定性格
3375783, 5.7, 21, 图解日常经济学
1661443, 6.7, 10, 全球新传播
1728989, 6.1, 10, 人性与潜意识
20378799, 5.3, 19, 品牌地图
