2017-01-23 16:17:59
Tag: 遗传
The number of books: 53 

ID, rating, votes, title
1007305, 9.5, 112878, 红楼梦
1102715, 9.1, 5776, 从一到无穷大
1292405, 8.6, 4693, 自私的基因
11445548, 8.6, 3946, 自私的基因
1291817, 8.6, 1407, 细胞生命的礼赞
1046620, 8.9, 929, 我们为什么生病
6749832, 9.0, 761, 复杂
4846032, 8.0, 1911, 性别战争
1445558, 8.8, 550, 物种起源
1287910, 8.4, 421, 家
1001292, 8.0, 450, 惊人的假说
1464981, 8.1, 267, 春
1071936, 8.4, 184, 隐秩序
1488318, 8.5, 166, 先天，后天
1280917, 8.7, 132, 基因VⅢ
1803961, 8.1, 219, 双螺旋
1453798, 8.4, 162, 寻找生命的逻辑
4739526, 9.2, 85, 进化动力学
1427464, 7.9, 213, 盲眼钟表匠
4832192, 7.9, 190, 上帝的迷思
1035843, 7.9, 188, 谜米机器
1508811, 8.2, 126, 遗传学（上册）
1046794, 8.3, 100, 伊甸园之河
1156671, 8.4, 91, 孟德尔妖
1445586, 8.0, 122, 林肯的DNA以及遗传学上的其他冒险
1508783, 8.1, 108, 遗传学
1035755, 8.8, 64, 故事的歌手
25917736, 7.5, 117, 情种起源
5338171, 8.4, 56, 生命的语言
1678219, 9.0, 37, 夏娃的七个女儿
26754245, 9.1, 34, The Gene
3756525, 7.9, 68, 解码生命
3007066, 7.7, 74, 行为遗传学
3786776, 7.5, 60, 不愤怒的世界
5406390, 8.4, 32, 谜米机器
26373406, 8.8, 24, 上帝造人有多难
1033747, 7.8, 38, 双螺旋探秘
2994545, 7.9, 32, 遗传学
26352345, 7.7, 34, 先天后天
1531685, 8.6, 20, 科学探索者.细胞与遗传
1062351, 8.1, 26, 生命起源的七条线索
1594554, 8.4, 22, 基因的艺术  世界科普名著精选
1021523, 7.4, 31, 生物技术世纪
3124205, 7.3, 25, 医学遗传学
4236336, 8.3, 13, 分子生物学
1076914, 6.7, 26, 自然的指印
3685522, 8.2, 10, The 10
1655769, 6.1, 36, MATLAB遗传算法工具箱及应用
2069515, 7.9, 10, Genetics
2108552, 7.8, 10, Genetics From Genes to Genomes
1814687, 7.3, 11, 人类肤纹学
2010095, 6.9, 13, 人类基因研究报告
1231767, 7.3, 10, 遗传算法
