2017-01-23 16:17:59
Tag: 郭敬明
The number of books: 312 

ID, rating, votes, title
1084336, 9.0, 211723, 小王子
3211779, 8.9, 119611, 嫌疑人X的献身
2567698, 8.8, 125681, 三体
20427187, 8.8, 108785, 看见
1083428, 8.8, 80372, 傲慢与偏见
1949338, 8.9, 39252, 明朝那些事儿（贰）
5414391, 9.0, 28894, 寻路中国
4242172, 8.3, 84712, 天才在左 疯子在右
1066462, 8.4, 69227, 向左走·向右走
4742918, 8.3, 73903, 1Q84 BOOK 1
5275059, 7.9, 116959, 1988：我想和这个世界谈谈
3014576, 8.4, 40671, 陪安东尼度过漫长岁月
3162991, 9.6, 5255, 艺术的故事
5327697, 8.3, 27148, 橙
1963310, 8.2, 29822, 大地之灯
2056749, 8.1, 34513, 时间旅行者的妻子
1085883, 8.6, 14040, 青铜时代
1083762, 8.7, 11560, 人类的群星闪耀时
1440089, 8.3, 21171, 那些生命中温暖而美好的事情
1088711, 9.1, 6306, 霸王别姬
3012517, 8.5, 15077, 小姨多鹤
4238754, 8.0, 33204, 失恋33天
1065970, 7.8, 47967, 彼岸花
11527101, 8.5, 12361, 这些都是你给我的爱2
3057333, 9.0, 5811, 城南旧事
1016300, 7.2, 142977, 梦里花落知多少
1049189, 7.4, 66792, 1995-2005夏至未至
1914636, 8.4, 10016, 蛤蟆的油
3394338, 7.5, 49250, 他的国
3108829, 7.8, 22463, 全世爱
1453210, 7.4, 50356, 一座城池
2042063, 8.4, 7964, 伊斯坦布尔
5502995, 7.6, 31212, 1Q84 BOOK 3
4324975, 8.7, 4651, 下垂眼
1059406, 7.1, 87471, 幻城
5366382, 8.7, 4214, 夜航西飞
3103080, 7.6, 23209, 须臾
4289265, 8.5, 4842, 如果声音不记得
3406518, 8.5, 4684, 追随她的旅程
5243268, 8.5, 4509, 走向春天的下午
1009160, 7.3, 34623, 像少年啦飞驰
6007431, 8.4, 4507, 我不是完美小孩
1034108, 7.2, 35151, 零下一度
4746554, 7.9, 8847, 年华是无效信
3274851, 8.0, 7363, 原谅我红尘颠倒
1382842, 8.8, 2370, 夢裡花落知多少
3056892, 7.5, 17591, 幻城
3266968, 7.3, 26366, 秘密
3777123, 7.8, 9453, 告别天堂
3825658, 7.8, 9036, 全世爱Ⅱ·丝婚四年
1048441, 8.3, 3892, 透明的哀伤
1892491, 7.8, 8232, 如果墙会说话
2977174, 7.8, 8137, N.世界
5916234, 7.7, 8837, 番茄工作法图解
5403007, 7.6, 10171, 剩者为王
1796596, 7.3, 17969, 左耳
4766047, 8.0, 5000, 祸国
4862350, 8.6, 2031, 我不是完美小孩
3191328, 6.7, 58380, 小时代1.0折纸时代
20424609, 8.1, 3635, 妩媚航班
4706499, 7.8, 5342, 燃烧的男孩
7059909, 7.5, 8449, 南音 （上）
5341084, 8.1, 2960, 午时风
2973589, 7.5, 7678, 少年残像
6895313, 7.8, 4440, 原来
1862115, 7.2, 12548, 当时只道是寻常
1006881, 6.7, 37135, 左手倒影，右手年华。
6727877, 8.5, 1549, 文艺风象·消夏
5300296, 8.0, 2967, 陪你到世界终结
2062200, 6.3, 81328, 悲伤逆流成河
4920036, 7.3, 7132, 临界·爵迹 Ⅱ
4920037, 7.1, 9922, 临界·爵迹 I
5276802, 8.6, 991, 饕餮娘子之岁寒记
6017128, 7.7, 3167, 芙蓉如面柳如眉
5259293, 7.7, 3063, 蔷薇求救讯号
4038164, 6.5, 33390, 小时代2.0虚铜时代
4282049, 8.3, 1304, 三四郎
11606760, 8.2, 1448, 家住南塘路
3795720, 7.2, 6772, 任凭这空虚沸腾
1041550, 6.7, 19263, 爱与痛的边缘
1614439, 9.1, 476, 商店照明
2359688, 7.6, 2915, 镜之国
3289609, 7.1, 6596, 这么远，那么近
3812797, 7.7, 2371, 关于莉莉周的一切
6855851, 8.3, 1055, 文艺风象·TA和TA的猫
10437170, 8.2, 1185, 文艺风象·照相机是恋人
1425086, 7.5, 3163, 岛（Vol.05）
1459494, 7.5, 3066, 岛（Vol.6）
1031818, 7.4, 3491, 我爱阳光
4027816, 7.1, 5404, 浮世德
5915718, 8.1, 1090, 文艺风赏·除夕
1808767, 7.4, 2867, 岛（VOL.7）
1058943, 7.4, 2791, 岛（Vol.4）
1902601, 7.3, 3035, 岛（Vol.8）
3078848, 7.7, 1576, 紫极舞
5264090, 8.0, 1049, 荣耀谱
1902593, 7.2, 3415, 最小说（第一辑）
1082600, 7.5, 2087, 圈里圈外
5996565, 7.8, 1353, 麦田里的守望者
3015804, 7.6, 1763, 你我交汇在遥远行星
10522600, 8.2, 799, 文艺风象·零嘴儿
10468951, 8.0, 988, 她她
1062508, 7.3, 2671, 岛
2311695, 7.2, 3038, 岛（Vol.09）
11505946, 7.3, 2560, 剩者为王Ⅱ
1364204, 7.8, 1159, 夢裡花落知多少.
10774185, 8.0, 896, 文艺风象·毕业即胜利
2179956, 7.0, 4011, 左手倒影.右手年华
6828611, 6.4, 14134, 小时代3.0：刺金时代
3014715, 7.1, 3283, 岛（Vol.10）
11505944, 8.3, 606, 天鹅·余辉
1037589, 6.7, 6795, 天亮说晚安
7050981, 8.1, 746, 飞蛾特快
1069071, 6.9, 4514, 岛
1918122, 7.4, 1780, 门
4721737, 7.2, 2361, 迷津
3001863, 8.6, 393, Wolf Totem
1003420, 7.1, 2722, 岛?陆眼（Vol.02)
4722280, 8.1, 656, 青春白恼会2
3662820, 7.4, 1564, 最小说(2009.21)
25786283, 6.8, 4295, 女王乔安
2374070, 9.0, 252, 夫妻双修功
1983931, 7.3, 1763, 最小说（第五辑）
1066681, 6.9, 3469, 刻下来的幸福时光
4737152, 7.0, 2860, 时光机
3133952, 7.2, 2015, 最小说（2008 07）
1961690, 7.2, 2010, 最小说（第四辑）
2057508, 7.3, 1616, 最小说（第七辑）
1671453, 7.0, 2626, 郭敬明音乐小说迷藏(CD)
2034998, 7.3, 1592, 最小说（第六辑）
1947159, 7.2, 1770, 最小说（第三辑）
2239124, 7.2, 1733, 恋爱习题
1774213, 7.7, 834, 绝杀
2239128, 7.3, 1446, 不许时光倒流
1924450, 7.2, 1671, 最小说（第二期）
1082845, 7.1, 1949, 一梦三四年
2157753, 7.3, 1380, 最小说 第十辑
6845414, 6.5, 5773, 去，你的旅行
1027832, 6.6, 4605, 猜火车
2081758, 7.2, 1541, 最小说(2007.06 第八辑)
2137700, 7.3, 1306, 最小说第九辑
2297693, 7.3, 1274, 最小说第13辑
1970604, 7.4, 1066, 圈里圈外
2263931, 7.3, 1217, 最小说.第12辑
4638933, 6.9, 2294, 小时代1.5·青木时代VOL.2
2229412, 7.3, 1084, 最小说（2007.09 第十一辑）
3016869, 7.3, 1027, 最小说(2008.03)
2298304, 7.4, 884, 最小说
6017133, 6.8, 2245, 下一站·神奈川
1449981, 6.3, 6117, 无极
24857335, 8.3, 302, 天鹅·永夜
6811711, 7.1, 1327, 桥声
4638931, 6.8, 2175, 小时代1.5·青木时代VOL.1
4923624, 7.2, 1130, 男友告急
5939295, 6.7, 2606, 鸟人计划
1783517, 7.5, 730, 小镇生活
4831219, 8.1, 351, 青春白恼会
2290166, 7.5, 704, 痕记
4864202, 7.1, 1105, 小时代1.5·青木时代VOL.3
3822249, 7.2, 942, 第一届『THE NEXT·文学之新』新人选拔赛作品集（上）
1956018, 8.8, 162, 世界哲学史
4847853, 7.1, 1037, 锦葵
4850486, 7.1, 930, 童年是孤单的冒险
5299765, 8.2, 242, 最后的孩子
6894467, 7.2, 777, 血腥的盛唐
4846147, 7.2, 648, 王牌大助理
25745152, 6.7, 1386, 愿风裁尘
1492431, 7.2, 636, 写得像郭敬明一样好
1091323, 7.3, 537, 吉他自学三月通（第二版）
7564402, 7.9, 256, 文艺风赏·英雄主义
20254538, 7.6, 351, 文艺风象
1820965, 8.8, 111, 藏传佛教绘画史
1082844, 6.9, 843, 猜火车
2973993, 7.0, 712, 梦延年
1034136, 6.7, 1106, 天下
5915713, 6.4, 1846, 爵迹?燃魂书
25981846, 7.4, 369, 这世上的美好，唯你而已
2973013, 7.7, 256, 周杰伦@大灌篮
1957692, 6.4, 1549, 麻雀要革命Ⅲ
5411085, 7.0, 566, 小时代1.5·青木时代VOL.4
6017131, 6.5, 1231, 下一站·伦敦
4050771, 7.2, 422, 第一届“THE NEXT·文学之新”新人选拔赛作品集（下）
6744663, 7.2, 410, 最小说
25892731, 7.4, 314, 下一站·那不勒斯
1291774, 7.0, 473, 郭敬明作品集
11505942, 6.5, 960, 下一站台北
1821283, 8.8, 78, 風華絕色複製畫集—綰青絲
25725062, 7.2, 333, 下一站·法国南部
26415833, 8.0, 143, 刺我一个吻
23217342, 7.2, 326, 故乡
10540669, 6.9, 449, 不夏
5915726, 7.5, 202, 临界·爵迹限量版 豪华礼盒
1705860, 6.5, 751, 庄周梦蝶
6428335, 6.8, 457, 小时代2.5锋银时代
6777937, 7.2, 265, 小祖宗2.0命运之轮
1185473, 6.3, 929, 郭敬明成长日记
6730473, 6.7, 478, 那时年少
3026745, 7.4, 195, 10年新概念
6772375, 7.7, 139, 骑誓·冰川骑士的第十二条规则
6891410, 6.5, 575, 最后我们留给世界的
5323938, 7.5, 159, 最漫画·桃花号
1806718, 8.2, 85, 天亮说晚安
6777935, 7.2, 213, 东倾记·神启
6811712, 7.4, 155, 骑誓·杀戮骑士的垂怜
5915714, 6.3, 632, 我们约会吧（全2册）
26359469, 7.5, 127, 我只能短暂地陪你一辈子
10440507, 7.0, 212, 蜀红
1158131, 7.8, 94, 北大女生
1254347, 7.2, 160, 2005夏至未至
7163004, 7.3, 140, 小时代2.5锋银时代VOL.2
10732858, 6.3, 496, 少数派报告
20276083, 6.6, 310, 下一站·济州岛
5395832, 7.4, 110, 最漫画·天鹅号
3030112, 7.4, 99, 假如明天没有太阳
5381936, 7.5, 89, 最漫画·锋银号
20411257, 7.8, 69, 文艺风赏.流言
25855964, 6.7, 206, 守岁白驹
2911748, 8.3, 45, 周杰伦@大灌篮
2973663, 6.8, 159, 万劫
5915717, 7.5, 75, 最漫画·山海号
7163003, 6.6, 187, 八音盒
20450685, 6.3, 264, 魑魅魍魉
24733576, 7.5, 69, 小时代电影全记录(精装版)
11583781, 7.0, 110, 锋银时代-小时代2.5-VOL.3
11505943, 6.2, 299, 下一站·吉隆坡
1111400, 8.1, 43, 北风后面的国家
23860409, 7.0, 105, 任凭这空虚沸腾
1288529, 6.2, 261, 爱是寂寞撒的谎
24722730, 6.4, 195, 小时代电影全记录
10438555, 6.6, 147, 最小说.2008.05
3026984, 7.2, 74, 可爱的苹果：新概念作文10年纪念版
25902007, 6.4, 169, 南风知我意
1683759, 5.5, 736, 青春散场
21241208, 7.0, 76, 小时代2.5锋银时代
1420358, 6.4, 147, 春末夏初
10511568, 7.4, 53, 放课后(2012年2月号)
26354175, 6.7, 99, 下一站·哥本哈根
10593892, 6.6, 107, 爵迹囧格
4226048, 8.2, 28, 王安忆小说选
5992349, 5.8, 314, 骑誓·蛊骑士的灵印
1082771, 6.7, 88, 新概念作文大赛获奖者小说精选
4920302, 6.8, 79, 书衣魅影
6851070, 6.8, 74, 第二届“THE NEXT·文学之新”决赛优秀作品集
3064305, 6.8, 65, 青春·扬花·念念不忘
26818782, 6.8, 63, 爵迹：雾雪零尘
1036837, 6.6, 76, 布老虎青春文学 第一辑
25862448, 6.0, 152, 怀石逾沙
3037902, 7.4, 36, 蔷薇的泡沫
26766312, 7.7, 29, 飞蛾特快?寄念
26766301, 7.4, 35, 北京人在北京?煮海
1068333, 5.5, 285, 幻城漫画版
1881099, 6.4, 75, 男人眼中女人的身体
1079171, 6.8, 50, 穿越郭敬明
10490861, 7.1, 37, 两世花开香满袖
6728766, 7.4, 29, 爱绘生活
1462590, 6.2, 82, 無極
26637220, 6.5, 55, 爱·别·离
4822943, 7.2, 30, 不是因为寂寞才想你
4278409, 6.6, 49, 成名
6430237, 7.1, 32, 最漫画·诡迹号
20304684, 6.7, 44, 爵迹
26824352, 6.5, 53, 爵迹：永生之海
3726739, 6.8, 36, 刻在时光里的爱情
3102931, 6.0, 73, 五十米爱琴海
1290139, 5.9, 81, 初恋
10828524, 6.6, 38, 幻城1
6534797, 7.0, 27, 最漫画·青春号
20270241, 7.0, 25, 诡迹（下）
21365383, 6.4, 41, 放课后特典
6749782, 7.5, 18, 最漫画·时代号
25848682, 7.3, 20, 新·山海经 VOL.1
25919915, 5.8, 75, 刺金时代——小时代电影全记录II
6864893, 7.1, 22, 最漫画·封神号
10531029, 7.6, 16, 积木城堡里的爸爸
25778300, 6.5, 31, 最小说2008.09
7174550, 6.5, 29, 最漫画·爵迹号
6808046, 6.9, 21, 最漫画·小祖宗号
20270242, 6.6, 26, 诡迹（上）
25848684, 7.2, 17, 新·山海经 VOL.2
6976128, 6.7, 23, 最漫画
25778600, 6.0, 42, 最小说2008.11
6885912, 7.6, 13, 發現約旦
10781564, 6.6, 24, 1995-2005夏至未至
25778303, 6.4, 28, 最小说映刻2009.01
25778297, 6.2, 33, 最小说.2008.08
1002278, 4.9, 212, 痴鸟
1069911, 5.2, 107, 幻城之恋
10828523, 6.7, 20, 幻城2
25778301, 6.1, 32, 最小说2008.10
1334723, 7.7, 11, 貓咪魔法學校03-最初的預言
7063772, 7.1, 15, 最漫画·轩辕号
26805837, 7.2, 14, 夏至未至
25778302, 6.1, 31, 最小说2009.01上半月
4190164, 7.0, 15, 我的世界日光倾城
25778450, 5.9, 36, 最小说2008.06
6527850, 7.1, 14, 悲しみは逆流して河になる
3283475, 6.5, 20, 今天谁最美丽
10436662, 6.8, 16, 最漫画·仙缘号
21248839, 7.1, 13, 怪物大师
25778605, 5.9, 32, 最小说2008.12
10781502, 6.8, 15, 小時代1.0折紙時代
