2017-01-23 16:17:59
Tag: 长篇小说
The number of books: 992 

ID, rating, votes, title
1007305, 9.5, 112878, 红楼梦
3259440, 9.1, 173521, 白夜行
1770782, 8.8, 249352, 追风筝的人
1008145, 8.9, 179838, 围城
1082154, 9.1, 120322, 活着
6082808, 9.2, 94536, 百年孤独
1068920, 9.3, 73355, 飘（上下）
3066477, 9.2, 74792, 三体Ⅱ
5363767, 9.2, 74189, 三体Ⅲ
3211779, 8.9, 119616, 嫌疑人X的献身
1200840, 9.0, 93963, 平凡的世界（全三部）
2567698, 8.8, 125684, 三体
1041007, 9.0, 82551, 哈利·波特与魔法石
25862578, 8.6, 170475, 解忧杂货店
1019568, 9.2, 52648, 三国演义（全二册）
1255625, 9.1, 53461, 天龙八部
1071241, 8.9, 70208, 哈利·波特与阿兹卡班的囚徒
1009257, 8.9, 68103, 哈利·波特与火焰杯
1083428, 8.8, 80372, 傲慢与偏见
1017143, 8.5, 130077, 不能承受的生命之轻
1858513, 8.9, 61785, 月亮和六便士
1039487, 8.8, 67930, 哈利·波特与密室
4820710, 9.3, 28363, 1984
2295163, 8.9, 53497, 哈利·波特与死亡圣器
10594787, 8.9, 50393, 霍乱时期的爱情
1432596, 8.8, 59641, 哈利·波特与混血王子
1141406, 8.5, 101784, 简爱
1002299, 8.9, 47846, 笑傲江湖（全四册）
2035179, 9.2, 28226, 动物农场
1089243, 8.8, 52514, 黄金时代
3674537, 9.1, 30922, 明朝那些事儿（1-9）
1336330, 9.3, 21621, 冰与火之歌（卷一）
1029791, 8.7, 56424, 许三观卖血记
1007914, 8.7, 54516, 窗边的小豆豆
1082387, 9.2, 24013, 一九八四·动物农场
1827374, 9.0, 32530, 东方快车谋杀案
1255624, 8.8, 43501, 神雕侠侣
2143732, 8.7, 48523, 灿烂千阳
1040771, 8.2, 123412, 达·芬奇密码
1013129, 8.6, 56229, 哈利·波特与凤凰社
1046265, 8.0, 178875, 挪威的森林
1044547, 8.9, 31249, 射雕英雄传（全四册）
3006581, 8.9, 30738, 无人生还
1045818, 8.5, 59229, 苏菲的世界
3608208, 8.6, 45551, 牧羊少年奇幻之旅
2035162, 9.0, 22475, 刀锋
4742918, 8.3, 73904, 1Q84 BOOK 1
1205054, 8.9, 25779, 悲惨世界（上中下）
1022060, 8.3, 73043, 狼图腾
3646172, 8.4, 58946, 恶意
1464203, 9.4, 11875, 冰与火之歌（卷二）
1986291, 9.5, 10283, 冰与火之歌（卷三）
4908885, 9.0, 20177, 局外人
1119522, 8.4, 54451, 呼啸山庄
1003000, 8.4, 54139, 悟空传
1082334, 8.3, 64860, 穆斯林的葬礼
1212893, 8.8, 26613, 鹿鼎记（全五册）
1863930, 8.8, 25339, 看不见的城市
1254588, 8.9, 21372, 城南旧事
4885241, 8.4, 47410, 1Q84 BOOK 2
1963684, 8.6, 32880, 半生缘
1401425, 8.3, 56216, 兄弟（上）
3426869, 8.3, 54892, 三生三世 十里桃花
1400705, 8.1, 79139, 情人
5275059, 7.9, 116960, 1988：我想和这个世界谈谈
1086249, 8.6, 30347, 荆棘鸟
1192090, 8.7, 24182, 球状闪电
1014278, 8.4, 36432, 红玫瑰与白玫瑰
1529893, 8.0, 76614, 莲花
1029553, 8.7, 20408, 西游记（全二册）
1807516, 8.9, 14921, 罗杰疑案
