2017-01-23 16:17:59
Tag: 青春文艺
The number of books: 182 

ID, rating, votes, title
1461903, 8.0, 114261, 何以笙箫默
3879301, 8.1, 73981, 微微一笑很倾城
1529893, 8.0, 76614, 莲花
2136140, 8.7, 13764, 雨季不再来
2567919, 8.3, 26264, 匆匆那年（上下）
3598313, 8.0, 45561, 西决
1963310, 8.2, 29822, 大地之灯
1082518, 7.9, 48098, 麦田里的守望者
1958227, 8.2, 25342, 那些年，我们一起追的女孩
1030052, 7.9, 44454, 清醒纪
1440089, 8.3, 21171, 那些生命中温暖而美好的事情
1063190, 8.0, 27056, 蔷薇岛屿
1039752, 7.8, 39431, 且听风吟
1016300, 7.2, 142978, 梦里花落知多少
1823349, 9.0, 4808, Happy Birth Day
2339950, 7.8, 32391, 被窝是青春的坟墓
1018153, 7.8, 30427, 水仙已乘鲤鱼去
2331434, 7.7, 36563, 原来你还在这里
1058234, 7.7, 35287, 二三事
1049189, 7.4, 66793, 1995-2005夏至未至
3394338, 7.5, 49250, 他的国
1227838, 7.6, 38625, 年华是无效信
1029159, 7.5, 47381, 八月未央
3108829, 7.8, 22463, 全世爱
1453210, 7.4, 50356, 一座城池
1059406, 7.1, 87472, 幻城
3009033, 7.8, 18809, 杂的文
2317973, 8.1, 10996, 素年锦时
3506871, 7.6, 26523, 曾有一个人，爱我如生命
3293231, 7.8, 17918, 许我向你看
1019338, 8.5, 5695, 我只能为你画一张小卡片
2382705, 7.6, 25997, 不朽
4241870, 7.7, 19748, 我在回忆里等你
3103080, 7.6, 23209, 须臾
1012203, 7.6, 21610, 檞寄生
1006004, 7.5, 25008, 樱桃之远
1434525, 8.2, 6814, 记得
1914572, 7.6, 18790, 誓鸟
3061282, 7.6, 17392, 山月不知心底事
3003763, 8.7, 2978, 又寂寞又美好
1034108, 7.2, 35151, 零下一度
1441707, 8.2, 5538, 小蝴蝶小披风
3056892, 7.5, 17592, 幻城
1915536, 7.3, 26420, 尘埃星球
6088152, 8.0, 7225, 千秋
1436348, 7.7, 11751, 八月未央（修订版）
1007334, 7.2, 29355, 草样年华
3825658, 7.8, 9036, 全世爱Ⅱ·丝婚四年
1469051, 7.1, 35537, 左耳
3279284, 7.8, 8343, 像少年啦飞驰
1596305, 7.0, 40913, 泡沫之夏
2977174, 7.8, 8137, N.世界
1796596, 7.3, 17969, 左耳
1855343, 7.2, 20730, 泡沫之夏Ⅱ
3810672, 7.8, 6223, 8分钟的温暖
1087758, 7.2, 18505, 花季雨季
3191328, 6.7, 58382, 小时代1.0折纸时代
3364858, 7.9, 4858, 再见，冥王星
1012802, 7.2, 16808, 十爱
3290010, 7.0, 25311, 澜本嫁衣
2032666, 7.6, 7373, 零下一度
26575812, 7.3, 12277, 阿弥陀佛么么哒
1217071, 7.7, 5581, 樱桃之远
2973589, 7.5, 7678, 少年残像
3729756, 7.6, 6089, 鲤·最好的时光
1006881, 6.7, 37136, 左手倒影，右手年华。
3610550, 7.5, 6809, 鲤·暧昧
1046385, 7.1, 14619, 毒
2008972, 6.9, 21361, 沙漏
3091349, 7.3, 9006, 鲤·孤独
1087145, 7.7, 4414, 瞬间空白
3999070, 7.7, 4372, 燕尾蝶
1006646, 7.3, 8069, 幻城
2360485, 7.2, 9466, 沙漏Ⅲ
1062326, 6.9, 17475, 爱尔兰咖啡
2062200, 6.3, 81329, 悲伤逆流成河
2081286, 7.1, 10748, 沙漏II
1060779, 7.4, 5634, 圈里圈外
3621144, 7.3, 6510, 良言写意
1080812, 7.1, 9261, 红鞋
2278790, 7.7, 3102, 草木芳华
4038164, 6.5, 33392, 小时代2.0虚铜时代
4860554, 8.6, 895, 淘气包马小跳系列
3795720, 7.2, 6772, 任凭这空虚沸腾
1041550, 6.7, 19263, 爱与痛的边缘
3088496, 7.5, 3886, HANA
3008066, 7.8, 2285, 知更鸟
1009665, 8.2, 1309, 五·三班的坏小子
2086633, 7.4, 4220, 盛夏光年
1000993, 8.1, 1470, 女生日记-中华儿童文学金奖书库
1008592, 8.6, 791, 那个骑轮箱来的蜜儿
2359688, 7.6, 2915, 镜之国
3146546, 7.9, 1846, 千阳
1036067, 6.6, 19705, 那小子真帅
1083375, 7.2, 5421, 活不明白
1425086, 7.5, 3163, 岛（Vol.05）
1459494, 7.5, 3066, 岛（Vol.6）
3024352, 7.2, 5068, 离歌（Ⅰ）
1055401, 7.1, 5861, 小妖的金色城堡
