2017-01-23 16:17:59
Tag: 颠覆
The number of books: 177 

ID, rating, votes, title
3259440, 9.1, 173527, 白夜行
6082808, 9.2, 94544, 百年孤独
1873231, 8.8, 77655, 明朝那些事儿（壹）
1858513, 8.9, 61786, 月亮和六便士
4820710, 9.3, 28364, 1984
1858576, 9.3, 22530, 一九八四
1090043, 8.5, 83147, 倾城之恋
5299764, 9.4, 14234, 1984
1003000, 8.4, 54141, 悟空传
2064977, 8.9, 21468, 死亡筆記 1
1467022, 9.2, 12491, 上帝掷骰子吗
6798611, 8.7, 25152, 史蒂夫·乔布斯传
1853785, 8.7, 17066, 天是红河岸
6021440, 8.8, 12976, 黑客与画家
1963912, 8.8, 12265, 正见
5375620, 8.8, 11261, 失控
1062193, 8.6, 15230, 娱乐至死
1052203, 8.8, 9579, 局外人
3315879, 8.6, 11680, 恶童日记
1856025, 8.9, 7266, 道连·葛雷的画像
1465324, 7.7, 51358, 洛丽塔
3608235, 8.5, 10843, 失物之书
1144185, 9.1, 4597, 美国宪政历程
1485224, 8.6, 7655, 悟空传
1011215, 8.8, 4306, 论语别裁(上下)
3191044, 7.8, 20174, 华莱士人鱼
1062991, 8.4, 7077, 北京法源寺
3821057, 8.6, 5267, 搏击俱乐部
1436713, 8.9, 3373, 青铜时代
4286204, 8.1, 10244, 麦田里的守望者
1292405, 8.6, 4693, 自私的基因
5289756, 7.9, 12688, 爱的地下教育
3698217, 8.6, 4264, 花田半亩
3930318, 9.0, 2523, 超越时空
4086927, 8.5, 4815, 煮酒探西游
2081876, 7.3, 38116, 货币战争
1477437, 8.9, 2697, 唐人故事
25986341, 8.4, 4976, 万万没想到
5423803, 8.2, 6530, 剑桥倚天屠龙史
2981573, 8.8, 2459, 悟空传
1147347, 8.8, 2457, 改变心理学的40项研究
1863163, 8.4, 3906, 异兽志
1315190, 8.8, 2182, 想象的共同体
1221327, 8.5, 3126, 少年Pi的奇幻漂流
3191247, 8.7, 2382, 好兆头
1082446, 9.2, 1328, 南怀瑾选集（第一卷）
1470133, 8.5, 2940, 福星小子（1）
1401231, 9.0, 1379, 鹿鼎记（全五冊）
3071402, 8.7, 1832, 物理世界奇遇记
3889178, 8.7, 1801, Rework
4264003, 7.4, 12391, 名侦探的守则
3191328, 6.7, 58382, 小时代1.0折纸时代
1430871, 8.5, 2137, 亵渎1·轮回·月陨
1473250, 7.6, 8266, 魔鬼经济学
2145929, 8.6, 1858, 挪威的森林
2138225, 8.6, 1756, 白雪公主
3025921, 7.7, 5930, 黑天鹅
3097539, 8.9, 1149, 自由选择
3273876, 8.1, 3075, 被劫持的私生活
1961810, 9.1, 899, 故事新编
3683898, 7.5, 7912, 向日葵不开的夏天
3117464, 8.6, 1497, 平行宇宙
1415226, 8.7, 1245, 奥兰多
4243770, 8.5, 1448, 创新者的窘境
3666600, 7.5, 6094, 光荣日 第一季
2075935, 8.1, 2340, 殘酷的童話
2147006, 9.4, 489, 死亡筆記 7
6832303, 6.9, 16239, 别相信任何人
2147005, 9.3, 530, 死亡筆記 6
1077497, 7.3, 7087, 水煮三国
2057291, 8.1, 1915, 守夜人
6854525, 8.0, 2083, 黑天鹅
25928983, 7.6, 3664, 周鸿祎自述
4038164, 6.5, 33392, 小时代2.0虚铜时代
2133074, 7.0, 10038, 20几岁，决定女人的一生
1062309, 9.0, 573, 基因组
2347737, 8.1, 1573, 深夜加油站遇见苏格拉底
2147007, 9.2, 469, 死亡筆記 8
10566838, 7.5, 3719, 圣人请卸妆
3432401, 8.1, 1416, 苦难辉煌
6398075, 8.0, 1587, 一转念
3891385, 8.1, 1330, 制造伍德斯托克
2378291, 8.6, 728, 黄昏使者
5350197, 8.6, 684, 中国文化的命运
3219393, 8.6, 661, 最后的守护人
1777853, 8.2, 1033, 屠猫记
1255321, 8.1, 1097, 漫长的婚约
4109195, 8.5, 669, 午夜凶铃
1915337, 7.5, 2429, 百变小红帽
2226171, 8.1, 1043, 守日人
1646570, 8.7, 483, 王朔自选集
1408160, 8.6, 515, 地底三萬呎
1500045, 8.7, 434, 猜想与反驳
1774750, 7.8, 1180, 黑质三部曲·之一·黄金罗盘
6828611, 6.4, 14135, 小时代3.0：刺金时代
1085207, 8.6, 442, 香水
1035592, 7.6, 1376, 西方文明的另类历史
4822145, 8.7, 359, 创新者的解答
1474486, 7.7, 1075, 艺伎回忆录
4891219, 8.3, 482, 甜与权力
4137080, 8.3, 443, 被誤解的中國歷史
1424756, 8.0, 608, 人类曾经被毁灭
1083447, 8.4, 373, 人类群星闪耀的时刻
3194500, 7.9, 640, 一个被称作“它”的孩子
6010156, 8.1, 460, 狂野之夜！
1467905, 7.3, 1201, 孔雀王01
4292120, 7.0, 1776, 低智商社会
1842991, 7.9, 407, 瞧，这个人
3813384, 8.2, 261, 你值得過更好的生活
3007653, 8.7, 166, 菜根谭
4857026, 7.7, 396, 美味欺诈
4063555, 7.0, 863, 别笑，我是高考零分作文
10439914, 7.6, 344, 资本主义精神和社会主义改革
1006190, 7.5, 353, 知识分子
3122362, 9.1, 82, 福星小子（25）
3182381, 8.3, 145, 中国经典十种
3122352, 9.2, 73, 福星小子（15）
3122344, 9.2, 68, 福星小子（8）
3681643, 7.6, 251, 世上是不是有神仙
3317947, 9.0, 75, 百年孤独
3122343, 9.1, 70, 福星小子（7）
3122357, 9.2, 65, 福星小子（20）
3122341, 9.0, 73, 福星小子（5）
3122346, 9.2, 64, 福星小子（9）
3122340, 9.0, 72, 福星小子（4）
4279817, 7.3, 326, 上学的烦恼
3122347, 9.1, 67, 福星小子（10）
3122350, 9.1, 66, 福星小子（13）
3122351, 9.1, 66, 福星小子（14）
3122355, 9.1, 64, 福星小子（18）
3122354, 9.2, 60, 福星小子（17）
3122339, 8.9, 72, 福星小子（3）
3122356, 9.2, 59, 福星小子（19）
3122342, 8.9, 71, 福星小子（6）
3122349, 9.1, 62, 福星小子（12）
1438650, 7.4, 259, 重量
3122353, 9.2, 58, 福星小子（16）
3122337, 8.7, 79, 福星小子（2）
3122348, 9.0, 64, 福星小子（11）
3122359, 9.0, 62, 福星小子（22）
3122358, 9.0, 58, 福星小子（21）
2075906, 7.5, 188, 百分之七溶液
3199537, 7.4, 206, 深夜复活
1021037, 7.1, 275, 波伏瓦
3177946, 7.3, 211, 天庭内幕
1433910, 8.5, 69, 中国哲学史大纲
1351681, 8.0, 98, 所謂的知識分子
1955232, 8.0, 97, 工作与生活的未来
1025651, 9.1, 43, 童话短路.下
1034173, 8.0, 90, 简朴生活读本
1073438, 8.7, 54, 童话短路(上)
3293444, 7.8, 98, 游戏颠覆者
3199549, 7.3, 145, 达拉斯惊魂
