2017-01-23 16:17:59
Tag: 香港
The number of books: 959 

ID, rating, votes, title
1018577, 8.9, 13770, 霸王别姬 青蛇
2022979, 8.1, 41260, 喜宝
3344676, 8.1, 34156, 常识
3642673, 8.0, 23125, 我执
1261153, 8.4, 10780, 青蛇
2230208, 8.1, 14022, 我的前半生
1458164, 8.3, 7893, 她是女子，我也是女子
1045247, 7.7, 21456, 面包树上的女人
1046172, 8.4, 6452, 流金岁月
1461583, 9.3, 1839, 火鳳燎原 1
5289756, 7.9, 12688, 爱的地下教育
1032581, 8.4, 5529, 胭脂扣 生死桥
2115040, 8.0, 10341, 玫瑰的故事
1470158, 8.0, 10231, 圆舞
2045811, 9.0, 2071, 张国荣的时光
1316606, 8.6, 3165, 無愛紀
3053868, 7.9, 8396, 永不永不说再见
1705507, 8.0, 6491, 胭脂扣
1892491, 7.8, 8232, 如果墙会说话
1096118, 7.9, 6797, 流浪的面包树
3311009, 7.2, 24898, 原来你非不快乐
1028780, 7.6, 11050, 三个A Cup的女人
6784859, 9.3, 1021, KYLOOE·忧郁的蜻蜓
4199685, 7.6, 9999, 我读
1030153, 7.5, 11970, 她比烟花寂寞
3099359, 8.0, 5022, 拥抱
1082173, 7.8, 6586, 面包树出走了
1370750, 8.6, 2078, 突然我記起你的臉
1731521, 8.2, 3488, 生死桥
1004956, 8.0, 4660, 阿修羅
1863619, 9.3, 919, 与他共度61世
4031698, 7.8, 6235, 读者
2284090, 7.5, 10438, 开到荼蘼
1032945, 7.7, 6893, 荷包里的单人床
1006418, 8.8, 1471, 老夫子
1055187, 8.4, 2383, 我的前半生
3854484, 8.8, 1436, 这是爱
1084918, 8.0, 4128, 再见野鼬鼠
1064880, 9.2, 917, 麦兜·微小小说
1212507, 9.1, 1011, 麦兜·尿水遥遥
3776157, 7.8, 5413, 破事儿
1361268, 8.2, 2885, 朝花夕拾
1322066, 7.6, 7331, 吃南瓜的人
1264534, 7.9, 4259, 雪地里的蜗牛奄列
3045175, 8.0, 3654, 爱上了你
1084919, 7.7, 5687, 三月里的幸福饼
3073494, 7.4, 9592, 人淡如菊
1322158, 7.7, 5514, 同门
6527141, 8.2, 2526, 停车暂借问
2287123, 8.3, 2157, 時裝時刻
3621252, 7.4, 8819, 曾经
3439437, 7.7, 5182, 阿修罗
1016058, 7.9, 3749, 我们不是天使
1897413, 7.6, 5995, 一点旧一点新
1057601, 7.8, 4194, 半饱
3574418, 8.7, 1216, 张国荣：禁色的蝴蝶
1212508, 9.1, 788, 麦唛·完美故事
1050640, 8.2, 2238, 云海玉弓缘（上下）
2974903, 8.1, 2562, 香港味道2
1322328, 7.4, 7394, 不羁的风
1456597, 7.5, 6171, 她的二三事
2244170, 7.7, 4357, 电光幻影
2282081, 8.0, 2725, 香港味道1
1082172, 7.6, 4978, 蝴蝶过期居留
1322342, 7.6, 4953, 花常好月常圆人长久
1024701, 7.8, 3583, 回家真好
1009931, 7.7, 4185, 潘金莲之前世今生 诱僧
1281275, 7.7, 4004, 流波上的舞
1078133, 7.7, 3954, 我们都是丑小鸭
3644791, 7.4, 6521, 噪音太多
1316607, 8.5, 1302, 媚行者
6048071, 8.6, 1136, 七声
1025176, 7.6, 4492, 设计私生活
3081757, 8.0, 2405, 相逢
1062235, 7.5, 5081, 卖海豚的女孩
1499758, 7.7, 3603, 忽爾今夏
4230591, 7.3, 6776, 我终究是爱你的
3865644, 8.8, 827, 麦兜响当当
1957045, 7.5, 4661, 印度墨
1062514, 7.8, 2814, 白发魔女传
1353132, 8.6, 993, 沉默。暗啞。微小。
1371801, 8.6, 990, 七宗罪
1980585, 7.6, 3673, 寒武纪
1002914, 8.5, 1057, 老夫子（共十册）
1471809, 7.7, 3066, 饺子
1011882, 7.6, 3586, 两个人住
6100990, 7.7, 3030, 访问
1466389, 8.1, 1696, 我的我的天
1064282, 7.8, 2576, 思念里的流浪狗
1281622, 7.5, 4097, 连环
4841303, 7.6, 3465, 人情·世故
3410812, 7.4, 4779, 死在这里也不错
1055486, 7.4, 4738, 魔法蛋糕店
1081604, 7.8, 2497, 秦俑 满洲国妖艳——川岛芳子
20255214, 9.1, 528, KYLOOE 2·绿色隧道
1440043, 7.4, 4607, 我在云上爱你
1997752, 7.6, 3298, 剪刀替针做媒人
2070128, 9.2, 475, 偽科學鑑證2之殺出香港
1449661, 7.8, 2396, 梦·想家
1829846, 9.2, 467, 偽科學鑑證1
1043591, 8.7, 764, 屎捞人·屎诗童话
