2017-01-23 16:17:59
Tag: 马尔克斯
The number of books: 138 

ID, rating, votes, title
1084336, 9.0, 211726, 小王子
3259440, 9.1, 173527, 白夜行
6082808, 9.2, 94544, 百年孤独
1017143, 8.5, 130082, 不能承受的生命之轻
1858513, 8.9, 61788, 月亮和六便士
10594787, 8.9, 50398, 霍乱时期的爱情
3006581, 8.9, 30739, 无人生还
1775691, 8.3, 51965, 少有人走的路
1059419, 8.1, 58716, 海边的卡夫卡
3609132, 8.5, 23225, 把时间当作朋友
1483894, 9.4, 6088, 三国演义
6789605, 9.0, 8747, 树上的男爵
1418686, 8.6, 13598, 红拂夜奔
1077528, 8.9, 8073, 通往奴役之路
10763902, 7.9, 36956, 偷影子的人
1056461, 8.3, 14850, 旅行的艺术
20392523, 8.5, 10397, 没有人给他写信的上校
24382569, 8.6, 8894, 一桩事先张扬的凶杀案
11584574, 8.5, 9851, 万物静默如谜
1082138, 8.3, 13189, 在细雨中呼喊
2193877, 8.1, 15713, 你在天堂里遇见的五个人
4127527, 8.2, 10519, 厨房
26704403, 9.0, 1920, 二手时间
1064707, 8.7, 2390, 从卡夫卡到昆德拉
4928387, 7.5, 14438, 单恋
1038196, 8.4, 3179, 尤利西斯
26628811, 8.7, 2071, 世上最美的溺水者
6792270, 8.9, 1528, 佩德罗·巴拉莫
24538715, 8.6, 2191, 艾比斯之梦
20392525, 7.9, 5876, 枯枝败叶
7058059, 8.0, 4732, 我们心中的怕和爱
26657570, 9.0, 1222, 活着为了讲述
3114410, 9.0, 1189, 世界名著百部
1807562, 9.2, 896, 加西亚·马尔克斯中短篇小说集
1448761, 8.3, 2492, 像一块滚石
26451351, 8.6, 1633, 爱情和其他魔鬼
26276924, 8.6, 1604, 梦中的欢快葬礼和十二个异乡故事
25985126, 8.6, 1425, 迷宫中的将军
25779593, 8.5, 1564, 马尔克斯：族长的秋天
10522844, 8.7, 1168, 游戏的终结
26276279, 7.8, 3589, 苦妓回忆录
4160794, 8.4, 1524, 多余的话
2062200, 6.3, 81329, 悲伤逆流成河
2377014, 8.2, 1568, 阅读的故事
20392524, 7.7, 2868, 恶时辰
26276923, 7.9, 1858, 礼拜二午睡时刻
3432401, 8.1, 1416, 苦难辉煌
26022097, 8.4, 935, 番石榴飘香
1881837, 8.1, 1264, 三言二拍
1046483, 9.0, 458, 超越爱情的永恒之死
6890669, 7.6, 2228, 我不是来演讲的
1983479, 8.8, 468, 追忆似水年华
6720539, 8.3, 683, 断层线
1790005, 8.7, 438, 蒙面骑士
2269422, 8.8, 397, 世界文学名著读本
1400647, 9.0, 307, 佩德罗·巴拉莫
24722746, 7.8, 920, 人类尸体的奇异生活
1397966, 8.8, 267, 世界文学名著全书·世界奇书文库
3466923, 9.1, 198, Love in the Time of Cholera
1484272, 9.1, 197, 世界经典名著文库 第三辑
1849736, 9.4, 156, One Hundred Years of Solitude
25283615, 8.7, 270, 萨哈林旅行记
1383049, 9.5, 142, 一百年的孤寂
1364774, 9.0, 202, 愛在瘟疫蔓延時
1023860, 8.4, 308, 最后的炼金术士：牛顿传
2285152, 8.5, 235, 上校无人来信
1823105, 8.7, 189, 河的第三条岸
1011761, 8.8, 157, 金蔷薇
21617698, 7.1, 1011, 二十五岁的世界
2055664, 9.0, 127, One Hundred Years of Solitude（百年孤独/英文原版）
26534971, 7.5, 543, 蓝狗的眼睛
1494992, 8.4, 206, 两百年的孤独
