2017-01-23 16:17:59
Tag: 高尔基
The number of books: 65 

ID, rating, votes, title
1007305, 9.5, 112881, 红楼梦
1786670, 8.9, 46566, 百年孤独
6953273, 8.6, 11242, 盗墓笔记
1012489, 7.7, 9003, 童年 在人间 我的大学
1009285, 7.6, 9162, 童年
1033347, 8.7, 1479, 高原的百合花
11605940, 8.5, 912, 倒转红轮
1085856, 7.9, 1861, 在人间
1011399, 7.7, 2270, 钢铁是怎样炼成的
1069405, 7.7, 1503, 我的大学
1519058, 7.8, 1251, 母亲
1123597, 8.0, 802, 钢铁是怎样炼成的
1963076, 7.1, 1818, 别笑！我是英文单词书
1945986, 8.7, 129, 士与中国文化
1589591, 8.7, 128, 高尔基三部曲
25875828, 9.0, 76, 玫瑰的名字
1000420, 8.6, 68, 永久记忆版世界文学名著文库（全79套，86册）
2225814, 9.3, 29, 在人间
1018976, 8.1, 53, 不合时宜的思想
2032190, 8.5, 39, 高尔基短篇小说选
1413256, 8.0, 37, 海燕
1907014, 7.6, 48, 在人间
3781633, 8.1, 32, 在人间
3997179, 8.6, 23, 童年在人间我的大学
1547496, 7.7, 39, 富兰克林传
1898593, 8.4, 25, 三人书简
3337389, 8.8, 20, 文学写照
1132040, 8.4, 20, 童年我的大学
1547291, 8.4, 20, 伊泽吉尔老婆子
1128103, 8.1, 22, 童年
5922510, 8.1, 22, 童年 在人间 我的大学
1144164, 7.9, 22, 鹰之歌
1076739, 8.2, 17, 俄罗斯浪游散记（高尔基）
3398283, 7.6, 23, 高尔基三部曲
1037611, 8.4, 15, 契诃夫小说全集9
2266806, 8.1, 17, 同志集
1085025, 8.1, 16, 童年·在人间·我的大学
1680659, 7.3, 24, 数学八年级上册
1153334, 7.5, 21, 童年
2308417, 7.4, 21, 童年
1661928, 7.7, 17, 母亲
1592763, 7.8, 16, 母亲
2266828, 7.8, 16, 人间
3804241, 7.3, 21, 在人间
1556417, 8.0, 12, 母亲
1795112, 7.3, 17, 我怎样学习和写作
1055491, 7.2, 16, 我的大学
3088493, 7.8, 11, 单恋
2251130, 7.7, 11, 高尔基文集(全20册)
1521644, 7.5, 12, 童年
2971650, 7.5, 12, 母亲
5385661, 7.5, 12, 自白
1084982, 7.3, 13, 在人间
6852159, 7.6, 11, 另一个高尔基
3016946, 7.5, 11, 我的大学
1264052, 7.3, 12, 母亲
1005756, 7.4, 11, 我的大学-高尔基精品集
3223674, 7.6, 10, 俄国文学史
4133573, 7.6, 10, 童年
1962880, 7.5, 10, 高尔基早期作品选
6435858, 7.5, 10, 童年.在人间.我的大学
1619474, 7.2, 11, 高尔基散文
1835998, 7.1, 11, 童年
3797410, 7.1, 11, 我的大学
2302329, 7.0, 11, 底层
